reason,name,analysis_name,curie_link
no_csv,Cart Carousel 1.5,DBD_precheckout_cart_carousel_M1_5,https://admin-gateway.doordash.com/decision-systems/experiments/5afb5eff-9ccb-40cb-b742-04f0527fc9ea?analysisId=483c687d-83ff-4391-b7bd-868330c70b12
empty_load,NV Boosting Ranker,DSML_Boosting_70_Core_Metrics,https://admin-gateway.doordash.com/decision-systems/experiments/e33ccbc2-4785-4709-a14e-37f8440be631?analysisId=dc2ce123-9469-45dc-9f10-4c02b3fca47d
empty_load,Cart feed header,bundle_precheckout_cart_enable_feed__reshuffled,https://admin-gateway.doordash.com/decision-systems/experiments/2ae2df1f-1006-4336-83d0-9f9c9113f557?analysisId=c4fd63af-62ca-4750-8cc7-0e738d1f2e2e
empty_load,Popular Retail Items,popular_retail_items_final,https://admin-gateway.doordash.com/decision-systems/experiments/4774edf6-6199-4119-b363-0aad1cc4e3bc?analysisId=678c1c16-8ec2-4c3a-a16f-adfd5d974d65
empty_load,Mx pills,bundle_precheckout_cart_enable_mx_pill___IOS_Users,https://admin-gateway.doordash.com/decision-systems/experiments/986c0b67-0ecd-4f90-bbee-790720d329c6?analysisId=728bf68f-fadc-42ee-9c25-9fcf2cedd12f
empty_load,iOS header redesign,Treatment_2_experiment,https://admin-gateway.doordash.com/decision-systems/experiments/5dad0c4e-4db3-43d3-91e0-6e7097816f21?analysisId=301f5fe1-77cd-48db-be85-2db0f793cb29
empty_load,Map pins,enable_bundle_map_store_pins_relaunch,https://admin-gateway.doordash.com/decision-systems/experiments/fc0a69fc-9526-4bd1-b97b-608e204669ec?analysisId=be87e22b-41cf-414a-a540-0d7970b33b5b
empty_load,Removing NV item ranking,doubledash_csf_retail_items_ranking_config__No_DSML_Experiment,https://admin-gateway.doordash.com/decision-systems/experiments/220a635c-e451-48b8-b78a-92d59a841669?analysisId=46d5bbe3-6659-446f-a44f-7039fc63f81e
empty_load,Android PCC,PCC_android_v4,https://admin-gateway.doordash.com/decision-systems/experiments/b52030c6-f64e-4524-9cb1-f928e87eb49e?analysisId=cd7f7ed3-9a80-48b4-91a5-e8df53129054
empty_load,Store ranker V5,store_ranker_v5_existing_users,https://admin-gateway.doordash.com/decision-systems/experiments/4864c4a0-6b2f-4c31-8268-9c8ddbb22107?analysisId=2769b3d9-021f-4be7-be58-ad4103caa6cb
empty_load,iOS order history timer,cx_ios_bundle_timer_order_card__Users,https://admin-gateway.doordash.com/decision-systems/experiments/fb33f081-5128-4db2-b0b2-c484e6ffeac6?analysisId=e0e7b207-4e9b-4562-b63f-cbfb3067cb82
empty_load,iOS PCC search,iOS_PCC_Iterations_7_5_0,https://unity.doordash.com/suites/data/decision-systems/experiments/6a41464a-45ee-4750-8ffe-e7604c42f5d7?analysisId=5f8e072a-ef93-481b-8958-dc825d681f3d
empty_load,iOS PCC store fallback,bundle_display_store_carousels_for_precheckout_cart__IOS_Users_US_only_,https://admin-gateway.doordash.com/decision-systems/experiments/0c46c2a1-5133-49e2-b8e5-bcd7b9d76f2e?analysisId=16469fd8-b973-447b-b661-0b1f6adf7c55
empty_load,Android PCC store fallback,bundle_display_store_carousels_for_precheckout_cart__Android_Users_US_only_,https://admin-gateway.doordash.com/decision-systems/experiments/0c46c2a1-5133-49e2-b8e5-bcd7b9d76f2e?analysisId=e829202a-cdbb-473c-8c37-4d700119361b
empty_load,NV BIA on Web,bundle_show_multi_store_reorder_carousel__Web_Users_New_,https://unity.doordash.com/suites/data/decision-systems/experiments/06404030-b3c5-4c7b-b986-08f1baa97c2e?analysisId=2991fef8-7870-49dc-ba18-6fef09f63fa1
empty_load,iOS HP ingress,doubledash_reminder_on_homepage_scroll_reset_ios_updated,https://ops.doordash.team/decision-systems/experiments/453185bb-19b3-4c66-b9a2-fb3fb215e33d?analysisId=213ea897-84b4-44f9-94e9-3786f8694345
empty_load,Web new to DbD banner,enable_post_checkout_promo_banner_reduced_size_web_new_cx,https://unity.doordash.com/suites/data/decision-systems/experiments/d554a19a-60e0-4f4c-817a-8852a999aef3?analysisId=afe390a9-5a41-4e64-a478-130d79f3cafd
empty_load,Geo radius expansion,enable_bundle_geo_constraint_rectangle_expansion__Pre_Checkout_Cart_Users,https://unity.doordash.com/suites/data/decision-systems/experiments/a5ffb8a2-3cff-436c-aaf5-eacb7d444dc4?analysisId=42250ca8-990f-49e5-a35a-c27ce77ee8e7
empty_load,Map pins,cx_ios_doubledash_map_pins_v2__Users_7_33_0_,https://ops.doordash.team/decision-systems/experiments/3beb1842-87e6-4b57-ab92-4fbe9c329d6f?analysisId=b4606a13-607e-43ba-9ffd-16aea4a96f59&redirected_from_unity=true
empty_load,Pre-checkout credits,enable_pre_checkout_credits_doubledash_v2,https://unity.doordash.com/suites/data/decision-systems/experiments/f69c9f0a-d962-41eb-972f-426ed589bfd7?analysisId=cb6608e6-28b8-43e6-a7e1-9b97b3cac8e7
empty_load,pre-checkout reorder your favorite,enable_doubledash_reorder_ranking_improvement__DBD_IOS,https://ops.doordash.team/decision-systems/experiments/e480cda5-5b96-410a-8ed2-86634cb13b14?analysisId=6cc59fb2-dd22-4954-bc3f-1a37b2c4dfda
empty_load,Android post-checkout banner redesign,post_checkout_banner_experiment_bucketing__Users_Android,https://ops.doordash.team/decision-systems/experiments/32db989c-50d2-4653-8298-c8881743b71b?analysisId=78154896-d45a-421a-b0f1-b51b6e64b064
empty_load,PCC search store discovery limit,bundle_search_store_discovery_limit_pcc,https://ops.doordash.team/decision-systems/experiments/8dd629f6-cfc2-4f9f-99e3-bc4e5bbe707d?analysisId=871a2877-d8eb-41e1-a05e-5d383453c73d
