"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","PairWise Model Current Boosting Value","PairWise Model Current Boosting Exposure Volume","PairWise Model Current Boosting Absolute Impact","PairWise Model Current Boosting Absolute Impact Confidence Interval","PairWise Model Current Boosting Relative Impact","PairWise Model Current Boosting Relative Impact Confidence Interval","PairWise Model Current Boosting P Value","PairWise Model Current Boosting Significance","PairWise Model Current Boosting Coverage","PairWise Model Current Boosting Relative Global Lift","PairWise Model Current Boosting Absolute Global Lift","PairWise Model New Boosting Value","PairWise Model New Boosting Exposure Volume","PairWise Model New Boosting Absolute Impact","PairWise Model New Boosting Absolute Impact Confidence Interval","PairWise Model New Boosting Relative Impact","PairWise Model New Boosting Relative Impact Confidence Interval","PairWise Model New Boosting P Value","PairWise Model New Boosting Significance","PairWise Model New Boosting Coverage","PairWise Model New Boosting Relative Global Lift","PairWise Model New Boosting Absolute Global Lift","PairWise Model New Boosting Aggressive Value","PairWise Model New Boosting Aggressive Exposure Volume","PairWise Model New Boosting Aggressive Absolute Impact","PairWise Model New Boosting Aggressive Absolute Impact Confidence Interval","PairWise Model New Boosting Aggressive Relative Impact","PairWise Model New Boosting Aggressive Relative Impact Confidence Interval","PairWise Model New Boosting Aggressive P Value","PairWise Model New Boosting Aggressive Significance","PairWise Model New Boosting Aggressive Coverage","PairWise Model New Boosting Aggressive Relative Global Lift","PairWise Model New Boosting Aggressive Absolute Global Lift"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.038660","6,030,138","0.038686","6,027,461","0.000041","[-0.000122, +0.000204]","0.001068","[-0.3151%, +0.5287%]","0.619871","-","","","","0.038802","6,028,902","0.000149","[-0.000014, +0.000312]","0.003854","[-0.0367%, +0.8075%]","0.073563","-","","","","0.038722","6,022,543","0.000083","[-0.000081, +0.000246]","0.002146","[-0.2083%, +0.6374%]","0.319945","-","","",""
"dbd_avg_o2_gov_1pc","Metric","N/A","","mean","17.695053","15,513","17.939768","16,367","0.244715","[-0.073926, +0.563356]","0.013830","[-0.4178%, +3.1837%]","0.132261","-","","","","17.896890","16,202","0.201837","[-0.114564, +0.518238]","0.011406","[-0.6474%, +2.9287%]","0.211193","-","","","","17.890377","16,067","0.195324","[-0.109096, +0.499745]","0.011038","[-0.6165%, +2.8242%]","0.208550","-","","",""
"dbd_avg_o2_gov_3pc","Metric","N/A","","mean","17.504161","192,135","17.704734","199,469","0.200573","[+0.127317, +0.27383]","0.011459","[+0.7274%, +1.5644%]","0.000000","Significant","","","","17.715884","202,639","0.211724","[+0.139054, +0.284394]","0.012096","[+0.7944%, +1.6247%]","0.000000","Significant","","","","17.709517","202,220","0.205356","[+0.132727, +0.277985]","0.011732","[+0.7583%, +1.5881%]","0.000000","Significant","","",""
"dbd_avg_o2_gov_alc","Metric","N/A","","mean","27.440990","27,898","27.667351","28,325","0.226361","[-0.135293, +0.588014]","0.008249","[-0.493%, +2.1428%]","0.219916","-","","","","27.530748","28,403","0.089758","[-0.269078, +0.448595]","0.003271","[-0.9806%, +1.6348%]","0.623951","-","","","","27.633250","28,800","0.192260","[-0.171056, +0.555575]","0.007006","[-0.6234%, +2.0246%]","0.299653","-","","",""
"dbd_avg_o2_gov_flowers","Metric","N/A","","mean","37.075014","107","41.520571","137","4.445557","[-3.028161, +11.919274]","0.119907","[-8.1677%, +32.1491%]","0.243681","-","","","","43.063985","139","5.988971","[-0.86974, +12.847683]","0.161537","[-2.3459%, +34.6532%]","0.087003","-","","","","46.193082","106","9.118069","[+0.541221, +17.694916]","0.245936","[+1.4598%, +47.7273%]","0.037193","Significant","","",""
"dbd_avg_o2_gov_grocery","Metric","N/A","","mean","26.513963","50,837","26.339513","56,349","-0.174450","[-0.454411, +0.10551]","-0.006580","[-1.7139%, +0.3979%]","0.221971","-","","","","26.697749","53,655","0.183786","[-0.098935, +0.466507]","0.006932","[-0.3731%, +1.7595%]","0.202630","-","","","","26.472730","53,873","-0.041233","[-0.3213, +0.238834]","-0.001555","[-1.2118%, +0.9008%]","0.772921","-","","",""
"dbd_avg_o2_gov_nv","Metric","N/A","","mean","20.031240","272,653","20.210222","285,827","0.178982","[+0.093344, +0.26462]","0.008935","[+0.466%, +1.321%]","0.000042","Significant","","","","20.212559","286,236","0.181319","[+0.09612, +0.266519]","0.009052","[+0.4799%, +1.3305%]","0.000030","Significant","","","","20.193363","286,160","0.162123","[+0.077014, +0.247233]","0.008094","[+0.3845%, +1.2342%]","0.000189","Significant","","",""
"dbd_avg_o2_gov_pets","Metric","N/A","","mean","34.539093","2,837","34.845982","2,839","0.306889","[-1.242189, +1.855967]","0.008885","[-3.5965%, +5.3735%]","0.697801","-","","","","35.444503","2,851","0.905410","[-0.716153, +2.526973]","0.026214","[-2.0735%, +7.3163%]","0.273798","-","","","","35.097482","2,871","0.558389","[-0.991442, +2.108221]","0.016167","[-2.8705%, +6.1039%]","0.480091","-","","",""
"dbd_avg_o2_gov_rx","Metric","N/A","","mean","20.377664","477,137","20.406604","464,010","0.028940","[-0.027684, +0.085563]","0.001420","[-0.1359%, +0.4199%]","0.316479","-","","","","20.454456","465,054","0.076792","[+0.02168, +0.131904]","0.003768","[+0.1064%, +0.6473%]","0.006315","Significant","","","","20.418911","462,243","0.041247","[-0.013224, +0.095717]","0.002024","[-0.0649%, +0.4697%]","0.137770","-","","",""
"dbd_avg_o2_subtotal_1pc","Metric","N/A","","mean","11.949354","15,513","12.136337","16,367","0.186984","[-0.08632, +0.460288]","0.015648","[-0.7224%, +3.852%]","0.179944","-","","","","12.109697","16,202","0.160343","[-0.110066, +0.430753]","0.013419","[-0.9211%, +3.6048%]","0.245159","-","","","","12.089038","16,067","0.139684","[-0.120879, +0.400247]","0.011690","[-1.0116%, +3.3495%]","0.293393","-","","",""
"dbd_avg_o2_subtotal_3pc","Metric","N/A","","mean","10.949577","192,135","11.176475","199,469","0.226899","[+0.162691, +0.291106]","0.020722","[+1.4858%, +2.6586%]","0.000000","Significant","","","","11.174240","202,639","0.224664","[+0.160896, +0.288431]","0.020518","[+1.4694%, +2.6342%]","0.000000","Significant","","","","11.167155","202,220","0.217578","[+0.153865, +0.281291]","0.019871","[+1.4052%, +2.569%]","0.000000","Significant","","",""
"dbd_avg_o2_subtotal_alc","Metric","N/A","","mean","20.502069","27,898","20.597823","28,325","0.095754","[-0.224202, +0.415709]","0.004670","[-1.0936%, +2.0276%]","0.557498","-","","","","20.516371","28,403","0.014301","[-0.305846, +0.334448]","0.000698","[-1.4918%, +1.6313%]","0.930232","-","","","","20.590082","28,800","0.088012","[-0.234812, +0.410837]","0.004293","[-1.1453%, +2.0039%]","0.593101","-","","",""
"dbd_avg_o2_subtotal_flowers","Metric","N/A","","mean","32.803558","107","34.885464","137","2.081906","[-4.074037, +8.237849]","0.063466","[-12.4195%, +25.1127%]","0.507427","-","","","","34.729859","139","1.926302","[-3.755793, +7.608396]","0.058722","[-11.4493%, +23.1938%]","0.506401","-","","","","39.360466","106","6.556908","[-0.384625, +13.498441]","0.199884","[-1.1725%, +41.1493%]","0.064117","-","","",""
"dbd_avg_o2_subtotal_grocery","Metric","N/A","","mean","17.696579","50,837","17.692910","56,349","-0.003669","[-0.246227, +0.238888]","-0.000207","[-1.3914%, +1.3499%]","0.976346","-","","","","17.939371","53,655","0.242791","[+0.000595, +0.484987]","0.013720","[+0.0034%, +2.7406%]","0.049439","Significant","","","","17.752634","53,873","0.056054","[-0.184191, +0.296299]","0.003168","[-1.0408%, +1.6743%]","0.647453","-","","",""
"dbd_avg_o2_subtotal_nv","Metric","N/A","","mean","13.109374","272,653","13.302616","285,827","0.193242","[+0.118707, +0.267777]","0.014741","[+0.9055%, +2.0426%]","0.000000","Significant","","","","13.292203","286,236","0.182829","[+0.108878, +0.25678]","0.013946","[+0.8305%, +1.9587%]","0.000001","Significant","","","","13.276975","286,160","0.167601","[+0.093703, +0.241498]","0.012785","[+0.7148%, +1.8422%]","0.000009","Significant","","",""
"dbd_avg_o2_subtotal_pets","Metric","N/A","","mean","27.116797","2,837","27.359530","2,839","0.242733","[-1.064485, +1.549951]","0.008951","[-3.9256%, +5.7158%]","0.715903","-","","","","27.666245","2,851","0.549448","[-0.809278, +1.908174]","0.020262","[-2.9844%, +7.0369%]","0.428023","-","","","","27.683891","2,871","0.567094","[-0.745918, +1.880105]","0.020913","[-2.7508%, +6.9334%]","0.397266","-","","",""
"dbd_avg_o2_subtotal_rx","Metric","N/A","","mean","13.363068","477,137","13.399108","464,010","0.036040","[-0.009771, +0.081851]","0.002697","[-0.0731%, +0.6125%]","0.123092","-","","","","13.442550","465,055","0.079482","[+0.034679, +0.124286]","0.005948","[+0.2595%, +0.9301%]","0.000507","Significant","","","","13.408971","462,243","0.045903","[+0.001626, +0.09018]","0.003435","[+0.0122%, +0.6748%]","0.042159","Significant","","",""
"dbd_avg_o2_vp_1pc","Metric","N/A","","mean","-17.724209","15,513","-17.510914","16,367","0.213296","[-0.103569, +0.530161]","-0.012034","[+0.5843%, -2.9912%]","0.187056","-","","","","-17.632260","16,202","0.091949","[-0.223916, +0.407814]","-0.005188","[+1.2633%, -2.3009%]","0.568304","-","","","","-17.584401","16,067","0.139808","[-0.166018, +0.445634]","-0.007888","[+0.9367%, -2.5143%]","0.370256","-","","",""
"dbd_avg_o2_vp_3pc","Metric","N/A","","mean","-0.154652","192,135","-0.167019","199,469","-0.012367","[-0.034194, +0.00946]","0.079967","[+22.1106%, -6.1171%]","0.266787","-","","","","-0.169925","202,639","-0.015273","[-0.036504, +0.005958]","0.098757","[+23.6039%, -3.8524%]","0.158552","-","","","","-0.168672","202,220","-0.014020","[-0.035501, +0.007461]","0.090656","[+22.9555%, -4.8244%]","0.200823","-","","",""
"dbd_avg_o2_vp_alc","Metric","N/A","","mean","-0.465673","27,898","-0.367314","28,325","0.098359","[-0.069837, +0.266555]","-0.211219","[+14.997%, -57.2408%]","0.251728","-","","","","-0.296675","28,403","0.168998","[+0.007914, +0.330082]","-0.362911","[-1.6995%, -70.8828%]","0.039758","Significant","","","","-0.358464","28,800","0.107209","[-0.055207, +0.269626]","-0.230225","[+11.8553%, -57.9002%]","0.195751","-","","",""
"dbd_avg_o2_vp_flowers","Metric","N/A","","mean","2.635737","107","2.041450","137","-0.594287","[-2.63896, +1.450385]","-0.225473","[-100.1223%, +55.0277%]","0.568904","-","","","","2.966247","139","0.330510","[-1.299172, +1.960192]","0.125396","[-49.2907%, +74.3698%]","0.691004","-","","","","1.188842","106","-1.446895","[-4.511374, +1.617584]","-0.548953","[-171.1617%, +61.3712%]","0.354759","-","","",""
"dbd_avg_o2_vp_grocery","Metric","N/A","","mean","-1.624630","50,837","-1.732783","56,349","-0.108153","[-0.183624, -0.032682]","0.066571","[+11.3025%, +2.0116%]","0.004974","Significant","","","","-1.671346","53,655","-0.046716","[-0.119813, +0.026381]","0.028755","[+7.3748%, -1.6238%]","0.210347","-","","","","-1.693265","53,873","-0.068635","[-0.141381, +0.004111]","0.042247","[+8.7023%, -0.253%]","0.064428","-","","",""
"dbd_avg_o2_vp_nv","Metric","N/A","","mean","-1.274512","272,653","-1.302263","285,827","-0.027751","[-0.06356, +0.008058]","0.021774","[+4.987%, -0.6322%]","0.128783","-","","","","-1.264263","286,236","0.010249","[-0.02461, +0.045108]","-0.008042","[+1.9309%, -3.5393%]","0.564439","-","","","","-1.270657","286,160","0.003855","[-0.030944, +0.038654]","-0.003025","[+2.4279%, -3.0328%]","0.828119","-","","",""
"dbd_avg_o2_vp_pets","Metric","N/A","","mean","0.937700","2,837","0.842115","2,839","-0.095585","[-0.58346, +0.39229]","-0.101936","[-62.2225%, +41.8353%]","0.700979","-","","","","1.276883","2,851","0.339183","[-0.167271, +0.845637]","0.361718","[-17.8385%, +90.1821%]","0.189308","-","","","","1.047238","2,871","0.109538","[-0.41664, +0.635716]","0.116816","[-44.4322%, +67.7953%]","0.683260","-","","",""
"dbd_avg_o2_vp_rx","Metric","N/A","","mean","0.326745","477,137","0.351025","464,010","0.024280","[+0.006631, +0.041929]","0.074309","[+2.0294%, +12.8323%]","0.007010","Significant","","","","0.359902","465,054","0.033157","[+0.015678, +0.050635]","0.101476","[+4.7983%, +15.4968%]","0.000201","Significant","","","","0.351742","462,243","0.024997","[+0.007744, +0.042251]","0.076504","[+2.37%, +12.9308%]","0.004517","Significant","","",""
"dbd_new_attach_rate_post_checkout","Metric","N/A","","mean","0.015497","3,859,262","0.015315","3,856,825","-0.000182","[-0.000284, -0.00008]","-0.011761","[-1.8336%, -0.5187%]","0.000455","Significant","","","","0.015408","3,858,383","-0.000090","[-0.000192, +0.000012]","-0.005817","[-1.24%, +0.0767%]","0.083333","-","","","","0.015403","3,855,115","-0.000099","[-0.000201, +0.000003]","-0.006387","[-1.2976%, +0.0201%]","0.057430","-","","",""
"dbd_total_o2_gmv_1pc","Metric","N/A","","mean","0.050623","6,608,120","0.054830","6,606,949","0.004207","[+0.002507, +0.005906]","0.083094","[+4.953%, +11.6658%]","0.000001","Significant","","","","0.053705","6,607,948","0.003081","[+0.001393, +0.00477]","0.060868","[+2.7511%, +9.4224%]","0.000348","Significant","","","","0.053370","6,602,760","0.002746","[+0.001075, +0.004417]","0.054250","[+2.1239%, +8.7261%]","0.001277","Significant","","",""
"dbd_total_o2_gmv_3pc","Metric","N/A","","mean","0.705695","6,608,120","0.748358","6,606,949","0.042663","[+0.036074, +0.049252]","0.060455","[+5.1119%, +6.9791%]","0.000000","Significant","","","","0.758320","6,607,948","0.052624","[+0.046032, +0.059217]","0.074571","[+6.5229%, +8.3913%]","0.000000","Significant","","","","0.755159","6,602,760","0.049463","[+0.042892, +0.056034]","0.070091","[+6.078%, +7.9403%]","0.000000","Significant","","",""
"dbd_total_o2_gmv_alc","Metric","N/A","","mean","0.143905","6,608,120","0.147739","6,606,949","0.003834","[+0.000394, +0.007275]","0.026644","[+0.2735%, +5.0554%]","0.028953","Significant","","","","0.147437","6,607,948","0.003533","[+0.000123, +0.006942]","0.024548","[+0.0854%, +4.8241%]","0.042291","Significant","","","","0.149626","6,602,760","0.005721","[+0.002279, +0.009164]","0.039756","[+1.5835%, +6.3678%]","0.001124","Significant","","",""
"dbd_total_o2_gmv_flowers","Metric","N/A","","mean","0.000617","6,608,120","0.000886","6,606,949","0.000269","[+0.00003, +0.000507]","0.435772","[+4.9309%, +82.2235%]","0.027103","Significant","","","","0.000932","6,607,948","0.000315","[+0.000081, +0.000548]","0.510037","[+13.1481%, +88.8594%]","0.008274","Significant","","","","0.000749","6,602,760","0.000131","[-0.000101, +0.000364]","0.212940","[-16.4256%, +59.0136%]","0.268524","-","","",""
"dbd_total_o2_gmv_grocery","Metric","N/A","","mean","0.254137","6,608,120","0.277936","6,606,949","0.023800","[+0.019, +0.028599]","0.093648","[+7.4761%, +11.2536%]","0.000000","Significant","","","","0.272640","6,607,948","0.018503","[+0.013673, +0.023333]","0.072807","[+5.3801%, +9.1813%]","0.000000","Significant","","","","0.271124","6,602,760","0.016987","[+0.012195, +0.021779]","0.066841","[+4.7985%, +8.5697%]","0.000000","Significant","","",""
"dbd_total_o2_gmv_nv","Metric","N/A","","mean","1.182343","6,608,120","1.258785","6,606,949","0.076442","[+0.066655, +0.08623]","0.064653","[+5.6375%, +7.2932%]","0.000000","Significant","","","","1.261820","6,607,948","0.079477","[+0.069674, +0.08928]","0.067220","[+5.8929%, +7.5511%]","0.000000","Significant","","","","1.258725","6,602,760","0.076382","[+0.0666, +0.086164]","0.064602","[+5.6329%, +7.2876%]","0.000000","Significant","","",""
"dbd_total_o2_gmv_pets","Metric","N/A","","mean","0.016271","6,608,120","0.016334","6,606,949","0.000063","[-0.00108, +0.001206]","0.003878","[-6.6394%, +7.4149%]","0.913876","-","","","","0.016993","6,607,948","0.000722","[-0.000474, +0.001918]","0.044372","[-2.9107%, +11.7851%]","0.236584","-","","","","0.016702","6,602,760","0.000431","[-0.00073, +0.001591]","0.026466","[-4.484%, +9.7771%]","0.466947","-","","",""
"dbd_total_o2_gmv_rx","Metric","N/A","","mean","2.198721","6,608,120","2.134158","6,606,949","-0.064563","[-0.077744, -0.051383]","-0.029364","[-3.5359%, -2.337%]","0.000000","Significant","","","","2.142835","6,607,948","-0.055886","[-0.06903, -0.042742]","-0.025418","[-3.1396%, -1.944%]","0.000000","Significant","","","","2.133664","6,602,760","-0.065057","[-0.078145, -0.051969]","-0.029589","[-3.5541%, -2.3636%]","0.000000","Significant","","",""
"dbd_total_o2_orders_1pc","Metric","N/A","","mean","0.002861","6,608,120","0.003056","6,606,949","0.000195","[+0.000119, +0.000271]","0.068158","[+4.1601%, +9.4715%]","0.000000","Significant","","","","0.003001","6,607,948","0.000140","[+0.000065, +0.000215]","0.048934","[+2.2723%, +7.5144%]","0.000253","Significant","","","","0.002983","6,602,760","0.000122","[+0.000047, +0.000197]","0.042642","[+1.6314%, +6.8971%]","0.001501","Significant","","",""
"dbd_total_o2_orders_3pc","Metric","N/A","","mean","0.040316","6,608,120","0.042269","6,606,949","0.001953","[+0.001626, +0.00228]","0.048442","[+4.0331%, +5.6553%]","0.000000","Significant","","","","0.042805","6,607,948","0.002489","[+0.002162, +0.002816]","0.061737","[+5.3616%, +6.9858%]","0.000000","Significant","","","","0.042641","6,602,760","0.002325","[+0.001998, +0.002652]","0.057669","[+4.9567%, +6.5772%]","0.000000","Significant","","",""
"dbd_total_o2_orders_alc","Metric","N/A","","mean","0.005244","6,608,120","0.005340","6,606,949","0.000096","[-0.000008, +0.0002]","0.018307","[-0.1592%, +3.8205%]","0.071364","-","","","","0.005355","6,607,948","0.000111","[+0.000007, +0.000215]","0.021167","[+0.1339%, +4.0995%]","0.036406","Significant","","","","0.005415","6,602,760","0.000171","[+0.000067, +0.000275]","0.032609","[+1.2684%, +5.2533%]","0.001338","Significant","","",""
"dbd_total_o2_orders_flowers","Metric","N/A","","mean","0.000017","6,608,120","0.000021","6,606,949","0.000004","[-0.000001, +0.000009]","0.235294","[-5.1899%, +52.2487%]","0.108323","-","","","","0.000022","6,607,948","0.000005","[0, +0.00001]","0.294118","[+0.6937%, +58.1298%]","0.044717","Significant","","","","0.000016","6,602,760","-0.000001","[-0.000006, +0.000004]","-0.058824","[-32.4211%, +20.6564%]","0.663977","-","","",""
"dbd_total_o2_orders_grocery","Metric","N/A","","mean","0.009585","6,608,120","0.010552","6,606,949","0.000967","[+0.000824, +0.00111]","0.100887","[+8.5938%, +11.5835%]","0.000000","Significant","","","","0.010212","6,607,948","0.000627","[+0.000483, +0.000771]","0.065415","[+5.0345%, +8.0484%]","0.000000","Significant","","","","0.010242","6,602,760","0.000657","[+0.000513, +0.000801]","0.068545","[+5.3481%, +8.3608%]","0.000000","Significant","","",""
"dbd_total_o2_orders_nv","Metric","N/A","","mean","0.059025","6,608,120","0.062285","6,606,949","0.003260","[+0.002854, +0.003666]","0.055231","[+4.8353%, +6.2108%]","0.000000","Significant","","","","0.062428","6,607,948","0.003403","[+0.002996, +0.00381]","0.057654","[+5.0766%, +6.4541%]","0.000000","Significant","","","","0.062334","6,602,760","0.003309","[+0.002903, +0.003715]","0.056061","[+4.9183%, +6.2939%]","0.000000","Significant","","",""
"dbd_total_o2_orders_pets","Metric","N/A","","mean","0.000471","6,608,120","0.000469","6,606,949","-0.000002","[-0.000028, +0.000024]","-0.004246","[-5.924%, +5.0747%]","0.879709","-","","","","0.000479","6,607,948","0.000008","[-0.000018, +0.000034]","0.016985","[-3.9115%, +7.3085%]","0.552907","-","","","","0.000476","6,602,760","0.000005","[-0.000021, +0.000031]","0.010616","[-4.4719%, +6.595%]","0.706909","-","","",""
"dbd_total_o2_orders_rx","Metric","N/A","","mean","0.107899","6,608,120","0.104582","6,606,949","-0.003317","[-0.003883, -0.002751]","-0.030742","[-3.5986%, -2.5497%]","0.000000","Significant","","","","0.104761","6,607,948","-0.003138","[-0.003704, -0.002572]","-0.029083","[-3.4327%, -2.3838%]","0.000000","Significant","","","","0.104494","6,602,760","-0.003405","[-0.003972, -0.002838]","-0.031557","[-3.6816%, -2.6298%]","0.000000","Significant","","",""