"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment3 Value","treatment3 Exposure Volume","treatment3 Absolute Impact","treatment3 Absolute Impact Confidence Interval","treatment3 Relative Impact","treatment3 Relative Impact Confidence Interval","treatment3 P Value","treatment3 Significance","treatment3 Coverage","treatment3 Relative Global Lift","treatment3 Absolute Global Lift","treatment4 Value","treatment4 Exposure Volume","treatment4 Absolute Impact","treatment4 Absolute Impact Confidence Interval","treatment4 Relative Impact","treatment4 Relative Impact Confidence Interval","treatment4 P Value","treatment4 Significance","treatment4 Coverage","treatment4 Relative Global Lift","treatment4 Absolute Global Lift","treatment5 Value","treatment5 Exposure Volume","treatment5 Absolute Impact","treatment5 Absolute Impact Confidence Interval","treatment5 Relative Impact","treatment5 Relative Impact Confidence Interval","treatment5 P Value","treatment5 Significance","treatment5 Coverage","treatment5 Relative Global Lift","treatment5 Absolute Global Lift"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_ads_revenue_archived","Metric","N/A","","mean","0.934507","1,665,050","0.936358","1,667,948","0.001647","[-0.003975, +0.007269]","0.001763","[-0.4253%, +0.7779%]","0.565791","-","0.163701","0.000289","0.001507","0.938062","1,665,014","0.002395","[-0.00376, +0.00855]","0.002563","[-0.4023%, +0.9149%]","0.445637","-","0.163701","0.000420","0.002191","0.938424","1,665,343","0.003815","[-0.00181, +0.009441]","0.004083","[-0.1937%, +1.0102%]","0.183726","-","0.163701","0.000668","0.003490"
"consumer_mto","Metric","N/A","","mean","0.074263","1,665,050","0.074879","1,667,948","0.000609","[-0.000363, +0.001582]","0.008204","[-0.4893%, +2.1301%]","0.219551","-","0.146440","0.001201","0.001812","0.074605","1,665,014","0.000212","[-0.000709, +0.001134]","0.002857","[-0.9552%, +1.5265%]","0.651838","-","0.146440","0.000418","0.000631","0.075006","1,665,343","0.000368","[-0.00058, +0.001316]","0.004953","[-0.7817%, +1.7723%]","0.447110","-","0.146440","0.000725","0.001094"
"consumers_mau","Metric","N/A","","mean","0.741921","1,665,050","0.742122","1,667,948","0.000275","[-0.0006, +0.001151]","0.000371","[-0.0809%, +0.1552%]","0.537721","-","0.123481","0.000046","0.000021","0.741696","1,665,014","-0.000261","[-0.001137, +0.000615]","-0.000352","[-0.1533%, +0.0829%]","0.558994","-","0.123481","-0.000043","-0.000020","0.742233","1,665,343","0.000215","[-0.000661, +0.001092]","0.000290","[-0.089%, +0.1471%]","0.629785","-","0.123481","0.000036","0.000017"
"dashpass_signup","Metric","N/A","","mean","0.054309","1,665,050","0.053919","1,667,948","-0.000392","[-0.000886, +0.000102]","-0.007221","[-1.6314%, +0.1872%]","0.119587","-","0.155196","-0.001121","-0.000888","0.053986","1,665,014","-0.000325","[-0.000819, +0.000169]","-0.005989","[-1.5089%, +0.3112%]","0.197117","-","0.155196","-0.000929","-0.000736","0.053842","1,665,343","-0.000469","[-0.000963, +0.000025]","-0.008638","[-1.774%, +0.0465%]","0.062894","-","0.155196","-0.001341","-0.001062"
"dbd_anchor_store_page_conversion","Metric","N/A","","mean","0.315935","1,648,532","0.311050","1,651,796","-0.004885","[-0.005694, -0.004075]","-0.015461","[-1.8024%, -1.2898%]","0.000000","Significant","0.806760","-0.012604","-0.003952","0.311118","1,648,720","-0.004817","[-0.005629, -0.004005]","-0.015246","[-1.7816%, -1.2675%]","0.000000","Significant","0.806760","-0.012431","-0.003898","0.310604","1,649,042","-0.005331","[-0.00614, -0.004521]","-0.016873","[-1.9435%, -1.431%]","0.000000","Significant","0.806760","-0.013758","-0.004314"
"dbd_nv_o2_trials_per_cx","Metric","N/A","","mean","0.013087","1,217,554","0.013040","1,219,473","-0.000047","[-0.000337, +0.000244]","-0.003577","[-2.5768%, +1.8613%]","0.752021","-","0.163771","-0.000586","-0.000007","0.013010","1,216,897","-0.000078","[-0.000368, +0.000212]","-0.005943","[-2.8111%, +1.6225%]","0.599283","-","0.163771","-0.000973","-0.000012","0.013160","1,217,810","0.000075","[-0.000216, +0.000366]","0.005765","[-1.6473%, +2.8004%]","0.611364","-","0.163771","0.000944","0.000012"
"dbd_o2_gmv","Metric","N/A","","mean","3.007343","1,665,050","3.091454","1,667,948","0.071722","[+0.042568, +0.100876]","0.023849","[+1.4155%, +3.3543%]","0.000001","Significant","0.185087","0.004414","0.149305","3.095627","1,665,014","0.070400","[+0.041288, +0.099512]","0.023409","[+1.3729%, +3.309%]","0.000002","Significant","0.185087","0.004333","0.146554","3.090509","1,665,343","0.064439","[+0.035265, +0.093613]","0.021427","[+1.1726%, +3.1128%]","0.000015","Significant","0.185087","0.003966","0.134145"
"dbd_o2_trials_per_cx","Metric","N/A","","mean","0.025917","1,217,554","0.026812","1,219,473","0.000897","[+0.000495, +0.001299]","0.034620","[+1.911%, +5.0131%]","0.000012","Significant","0.146016","0.005055","0.000142","0.026607","1,216,897","0.000690","[+0.000288, +0.001091]","0.026615","[+1.1126%, +4.2105%]","0.000758","Significant","0.146016","0.003886","0.000109","0.026681","1,217,810","0.000775","[+0.000373, +0.001176]","0.029887","[+1.439%, +4.5384%]","0.000157","Significant","0.146016","0.004364","0.000123"
"dbd_order_rate","Metric","N/A","","mean","0.144046","1,665,050","0.148639","1,667,948","0.004563","[+0.003288, +0.005838]","0.031676","[+2.2823%, +4.0529%]","0.000000","Significant","0.183197","0.005803","0.009499","0.148589","1,665,014","0.004129","[+0.002857, +0.005402]","0.028666","[+1.9833%, +3.7499%]","0.000000","Significant","0.183197","0.005252","0.008596","0.148589","1,665,343","0.003985","[+0.002708, +0.005262]","0.027665","[+1.8797%, +3.6533%]","0.000000","Significant","0.183197","0.005068","0.008296"
"dbd_order_rate_7d","Metric","N/A","","mean","0.059855","1,511,173","0.061592","1,514,645","0.001719","[+0.001087, +0.002351]","0.028722","[+1.8161%, +3.9283%]","0.000000","Significant","0.068927","0.001980","0.003250","0.061504","1,512,440","0.001526","[+0.000893, +0.002158]","0.025490","[+1.492%, +3.606%]","0.000002","Significant","0.068927","0.001757","0.002884","0.061650","1,512,413","0.001609","[+0.000977, +0.002241]","0.026876","[+1.6317%, +3.7436%]","0.000001","Significant","0.068927","0.001853","0.003041"
"dbd_retention_d7","Metric","N/A","","mean","0.302694","140,985","0.307202","144,588","0.006156","[+0.001707, +0.010605]","0.020339","[+0.564%, +3.5037%]","0.006686","Significant","0.185891","0.004299","0.001152","0.306275","144,589","0.004180","[-0.000255, +0.008615]","0.013810","[-0.0841%, +2.8461%]","0.064688","-","0.185891","0.002914","0.000781","0.307882","144,239","0.005355","[+0.000898, +0.009812]","0.017692","[+0.2968%, +3.2415%]","0.018521","Significant","0.185891","0.003741","0.001002"
"dp_paid_pause_cancel","Metric","N/A","","mean","0.065362","557,097","0.065987","557,852","0.000604","[-0.000334, +0.001541]","0.009236","[-0.5103%, +2.3576%]","0.206770","-","0.081677","0.000754","0.000063","0.065687","556,733","0.000288","[-0.00065, +0.001225]","0.004400","[-0.9938%, +1.8738%]","0.547531","-","0.081677","0.000359","0.000030","0.065730","557,086","0.000323","[-0.000614, +0.00126]","0.004942","[-0.9396%, +1.928%]","0.499313","-","0.081677","0.000404","0.000034"
"dsmp_visit_rate","Metric","N/A","","mean","4.439821","1,665,050","4.440135","1,667,948","-0.002772","[-0.010543, +0.004999]","-0.000624","[-0.2375%, +0.1126%]","0.484499","-","","","","4.440969","1,665,014","-0.001330","[-0.009102, +0.006442]","-0.000300","[-0.205%, +0.1451%]","0.737307","-","","","","4.446343","1,665,343","-0.000073","[-0.007844, +0.007697]","-0.000017","[-0.1767%, +0.1734%]","0.985259","-","","",""
"gov_per_order_curie","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"hqdr_ratio","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"is_bundled_order","Metric","N/A","","mean","0.036352","1,245,290","0.037473","1,247,285","0.001145","[+0.000827, +0.001464]","0.031511","[+2.2744%, +4.0278%]","0.000000","Significant","0.143828","0.005778","0.000165","0.037438","1,244,584","0.001101","[+0.000783, +0.001419]","0.030283","[+2.1542%, +3.9024%]","0.000000","Significant","0.143828","0.005557","0.000159","0.037442","1,245,544","0.001064","[+0.000745, +0.001383]","0.029274","[+2.0498%, +3.805%]","0.000000","Significant","0.143828","0.005369","0.000153"
"is_post_checkout_bundled_order","Metric","N/A","","mean","0.035806","1,245,290","0.035358","1,247,285","-0.000419","[-0.000732, -0.000106]","-0.011711","[-2.0451%, -0.2971%]","0.008633","Significant","0.143828","-0.002213","-0.000060","0.035644","1,244,584","-0.000147","[-0.00046, +0.000166]","-0.004099","[-1.2845%, +0.4648%]","0.358386","-","0.143828","-0.000775","-0.000021","0.035702","1,245,544","-0.000127","[-0.000442, +0.000187]","-0.003560","[-1.2339%, +0.5218%]","0.426657","-","0.143828","-0.000673","-0.000018"
"is_pre_checkout_bundled_order","Metric","N/A","","mean","0.000546","1,245,290","0.002115","1,247,285","0.001570","[+0.001519, +0.00162]","2.873416","[+278.0337%, +296.6496%]","0.000000","Significant","0.143828","0.178769","0.000226","0.001794","1,244,584","0.001249","[+0.001202, +0.001296]","2.286510","[+220.0686%, +237.2333%]","0.000000","Significant","0.143828","0.142377","0.000180","0.001740","1,245,544","0.001194","[+0.001148, +0.001241]","2.186634","[+210.0983%, +227.2285%]","0.000000","Significant","0.143828","0.136080","0.000172"
"o1_aov","Metric","N/A","","mean","36.878540","1,245,218","36.916593","1,247,186","-0.005744","[-0.047288, +0.0358]","-0.000156","[-0.1282%, +0.0971%]","0.786409","-","0.165711","-0.000026","-0.000952","36.864486","1,244,481","-0.037160","[-0.078272, +0.003952]","-0.001008","[-0.2122%, +0.0107%]","0.076465","-","0.165711","-0.000169","-0.006163","36.934575","1,245,454","0.006172","[-0.036445, +0.048789]","0.000167","[-0.0988%, +0.1323%]","0.776532","-","0.165711","0.000028","0.001023"
"o1_gmv","Metric","N/A","","mean","140.818473","1,665,050","140.942606","1,667,948","-0.175545","[-0.487075, +0.135984]","-0.001247","[-0.3459%, +0.0966%]","0.269406","-","0.167573","-0.000209","-0.036723","140.833353","1,665,014","-0.248500","[-0.559398, +0.062398]","-0.001765","[-0.3972%, +0.0443%]","0.117209","-","0.167573","-0.000296","-0.051984","141.086360","1,665,343","-0.168462","[-0.491238, +0.154314]","-0.001196","[-0.3488%, +0.1096%]","0.306337","-","0.167573","-0.000200","-0.035241"
"o1_order_rate","Metric","N/A","","mean","3.818439","1,665,050","3.817866","1,667,948","-0.002791","[-0.010848, +0.005266]","-0.000731","[-0.2841%, +0.1379%]","0.497138","-","0.165736","-0.000121","-0.000584","3.820299","1,665,014","-0.002415","[-0.010473, +0.005644]","-0.000632","[-0.2743%, +0.1478%]","0.556982","-","0.165736","-0.000105","-0.000505","3.819900","1,665,343","-0.004120","[-0.012253, +0.004014]","-0.001079","[-0.3209%, +0.1051%]","0.320887","-","0.165736","-0.000179","-0.000862"
"o1_order_rate_7d","Metric","N/A","","mean","1.604515","1,511,173","1.603065","1,514,645","-0.002089","[-0.005332, +0.001153]","-0.001302","[-0.3323%, +0.0719%]","0.206660","-","0.063235","-0.000082","-0.000397","1.603753","1,512,440","-0.001843","[-0.005086, +0.0014]","-0.001149","[-0.317%, +0.0872%]","0.265256","-","0.063235","-0.000073","-0.000350","1.603938","1,512,413","-0.002008","[-0.005245, +0.001229]","-0.001252","[-0.3269%, +0.0766%]","0.224029","-","0.063235","-0.000079","-0.000381"
"o1_subtotal","Metric","N/A","","mean","26.560207","1,245,218","26.580731","1,247,186","-0.014092","[-0.046915, +0.018732]","-0.000531","[-0.1766%, +0.0705%]","0.400095","-","0.165711","-0.000089","-0.002335","26.547602","1,244,481","-0.036075","[-0.068531, -0.003618]","-0.001358","[-0.258%, -0.0136%]","0.029371","Significant","0.165711","-0.000228","-0.005983","26.599747","1,245,454","-0.003601","[-0.037319, +0.030117]","-0.000136","[-0.1405%, +0.1134%]","0.834200","-","0.165711","-0.000023","-0.000597"
"o1_vp","Metric","N/A","","mean","3.045439","1,245,218","3.050635","1,247,186","0.001514","[-0.012854, +0.015883]","0.000497","[-0.4221%, +0.5215%]","0.836327","-","0.165711","0.000088","0.000251","3.040594","1,244,481","-0.001345","[-0.016013, +0.013324]","-0.000442","[-0.5258%, +0.4375%]","0.857389","-","0.165711","-0.000078","-0.000223","3.058372","1,245,454","0.012090","[-0.003448, +0.027628]","0.003970","[-0.1132%, +0.9072%]","0.127246","-","0.165711","0.000701","0.002004"
"order_rate_per_entity_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ox_gmv","Metric","N/A","","mean","198.224176","1,244,770","198.582571","1,246,702","-0.124351","[-0.578357, +0.329655]","-0.000627","[-0.2918%, +0.1663%]","0.591386","-","0.170503","-0.000107","-0.019565","198.462280","1,244,012","-0.192654","[-0.643609, +0.258302]","-0.000972","[-0.3247%, +0.1303%]","0.402413","-","0.170503","-0.000166","-0.030312","198.874389","1,244,976","-0.037256","[-0.511385, +0.436874]","-0.000188","[-0.258%, +0.2204%]","0.877604","-","0.170503","-0.000032","-0.005862"
"store_page_conversion","Metric","N/A","","mean","0.684200","1,633,662","0.683697","1,636,762","-0.000164","[-0.000804, +0.000476]","-0.000239","[-0.1175%, +0.0696%]","0.615886","-","","","","0.683664","1,633,482","-0.000331","[-0.000971, +0.000309]","-0.000484","[-0.142%, +0.0452%]","0.310972","-","","","","0.683566","1,634,411","-0.000594","[-0.001234, +0.000046]","-0.000868","[-0.1804%, +0.0067%]","0.068773","-","","",""
"variable_profit_per_order","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"