"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment_one_carousel Value","treatment_one_carousel Exposure Volume","treatment_one_carousel Absolute Impact","treatment_one_carousel Absolute Impact Confidence Interval","treatment_one_carousel Relative Impact","treatment_one_carousel Relative Impact Confidence Interval","treatment_one_carousel P Value","treatment_one_carousel Significance","treatment_one_carousel Coverage","treatment_one_carousel Relative Global Lift","treatment_one_carousel Absolute Global Lift","treatment_two_carousel Value","treatment_two_carousel Exposure Volume","treatment_two_carousel Absolute Impact","treatment_two_carousel Absolute Impact Confidence Interval","treatment_two_carousel Relative Impact","treatment_two_carousel Relative Impact Confidence Interval","treatment_two_carousel P Value","treatment_two_carousel Significance","treatment_two_carousel Coverage","treatment_two_carousel Relative Global Lift","treatment_two_carousel Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"cng_order_rate_nc","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"consumer_mto","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"consumers_mau","Metric","N/A","","mean","0.988816","300,957","0.989027","291,906","0.000266","[-0.000264, +0.000796]","0.000269","[-0.0267%, +0.0805%]","0.325430","-","","","","0.989155","293,302","0.000315","[-0.000213, +0.000843]","0.000318","[-0.0216%, +0.0852%]","0.242763","-","","",""
"dashpass_paid_balance","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dashpass_signup","Metric","N/A","","mean","0.040062","300,957","0.040349","291,906","0.000277","[-0.000751, +0.001304]","0.006903","[-1.8747%, +3.2553%]","0.597876","-","","","","0.040102","293,302","0.000038","[-0.000991, +0.001066]","0.000944","[-2.4733%, +2.6621%]","0.942581","-","","",""
"dbd_o2_gmv","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dp_paid_pause_cancel","Metric","N/A","","mean","0.033899","155,786","0.033517","150,490","-0.000379","[-0.001683, +0.000924]","-0.011193","[-4.9649%, +2.7263%]","0.568351","-","","","","0.033935","151,702","0.000016","[-0.00129, +0.001322]","0.000462","[-3.8067%, +3.8992%]","0.981237","-","","",""
"dsmp_perc_mx_trialers","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"first_contact_resolution_rate","Metric","N/A","","mean","0.815280","24,429","0.821214","24,329","0.006007","[-0.000154, +0.012167]","0.007368","[-0.0189%, +1.4924%]","0.056000","-","","","","0.822628","24,169","0.007565","[+0.001441, +0.01369]","0.009279","[+0.1767%, +1.6791%]","0.015478","Significant","","",""
"gov_per_order_curie","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"hp_session_long_term_relevance_v_2","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"hqdr_ratio","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"nv_fco_all","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"nv_hqfr","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"nv_mau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"order_frequency_per_entity_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"order_inflation_rate","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"order_rate_per_entity_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"smb_rx_filtered_core_volume","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"variable_profit_per_order","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"vol_from_over_25","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"