"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","doubledash-us-treatment-min-119-0 Value","doubledash-us-treatment-min-119-0 Exposure Volume","doubledash-us-treatment-min-119-0 Absolute Impact","doubledash-us-treatment-min-119-0 Absolute Impact Confidence Interval","doubledash-us-treatment-min-119-0 Relative Impact","doubledash-us-treatment-min-119-0 Relative Impact Confidence Interval","doubledash-us-treatment-min-119-0 P Value","doubledash-us-treatment-min-119-0 Significance","doubledash-us-treatment-min-119-0 Coverage","doubledash-us-treatment-min-119-0 Relative Global Lift","doubledash-us-treatment-min-119-0 Absolute Global Lift","doubledash-us-treatment-min-149-0 Value","doubledash-us-treatment-min-149-0 Exposure Volume","doubledash-us-treatment-min-149-0 Absolute Impact","doubledash-us-treatment-min-149-0 Absolute Impact Confidence Interval","doubledash-us-treatment-min-149-0 Relative Impact","doubledash-us-treatment-min-149-0 Relative Impact Confidence Interval","doubledash-us-treatment-min-149-0 P Value","doubledash-us-treatment-min-149-0 Significance","doubledash-us-treatment-min-149-0 Coverage","doubledash-us-treatment-min-149-0 Relative Global Lift","doubledash-us-treatment-min-149-0 Absolute Global Lift"
"dbd_avg_o2_package","Metric","N/A","","mean","0.656172","1,922,193","0.656192","1,869,319","0.000020","[-0.000831, +0.000871]","0.000031","[-0.1266%, +0.1328%]","0.963018","-","0.922023","0.000029","0.000019","0.655965","1,850,496","-0.000207","[-0.001061, +0.000647]","-0.000315","[-0.1617%, +0.0987%]","0.634976","-","0.922023","-0.000294","-0.000191"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_package","","mean","0.616233","378,427","0.615284","369,405","-0.000948","[-0.002903, +0.001007]","-0.001539","[-0.4711%, +0.1633%]","0.341695","-","0.193233","-0.000280","-0.000182","0.616026","364,614","-0.000207","[-0.002169, +0.001755]","-0.000336","[-0.352%, +0.2848%]","0.836319","-","0.193233","-0.000061","-0.000040"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_package","","mean","0.664616","83,337","0.666882","80,763","0.002266","[-0.002125, +0.006657]","0.003410","[-0.3197%, +1.0016%]","0.311768","-","0.038446","0.000134","0.000087","0.661393","80,577","-0.003222","[-0.00777, +0.001325]","-0.004848","[-1.1691%, +0.1994%]","0.164882","-","0.038446","-0.000189","-0.000123"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_package","","mean","0.666887","1,484,120","0.667019","1,442,524","0.000132","[-0.000822, +0.001087]","0.000198","[-0.1233%, +0.163%]","0.786049","-","0.688816","0.000140","0.000091","0.666813","1,428,436","-0.000074","[-0.001031, +0.000883]","-0.000111","[-0.1546%, +0.1323%]","0.879344","-","0.688816","-0.000079","-0.000051"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_package","","mean","0.656172","1,922,193","0.656192","1,869,316","0.000020","[-0.000831, +0.000872]","0.000031","[-0.1266%, +0.1328%]","0.962419","-","0.922022","0.000029","0.000019","0.655965","1,850,496","-0.000207","[-0.001061, +0.000647]","-0.000315","[-0.1617%, +0.0987%]","0.634976","-","0.922022","-0.000294","-0.000191"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_package","","mean","0.640127","1,837,850","0.639947","1,786,870","-0.000179","[-0.001056, +0.000697]","-0.000280","[-0.1649%, +0.1088%]","0.688114","-","0.858985","-0.000237","-0.000154","0.639481","1,767,621","-0.000646","[-0.001526, +0.000234]","-0.001009","[-0.2383%, +0.0366%]","0.150272","-","0.858985","-0.000853","-0.000554"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_package","","mean","0.876519","190,898","0.877327","185,874","0.000808","[-0.001305, +0.002921]","0.000922","[-0.1488%, +0.3333%]","0.453346","-","0.062909","0.000079","0.000051","0.877855","186,564","0.001336","[-0.000776, +0.003448]","0.001524","[-0.0885%, +0.3934%]","0.214995","-","0.062909","0.000129","0.000084"
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.673681","1,963,219","0.673843","1,909,441","0.000162","[-0.000649, +0.000973]","0.000241","[-0.0963%, +0.1444%]","0.694930","-","0.921670","0.000224","0.000150","0.673628","1,890,106","-0.000052","[-0.000866, +0.000762]","-0.000077","[-0.1285%, +0.113%]","0.899942","-","0.921670","-0.000072","-0.000048"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_sdb","","mean","0.646574","385,463","0.645948","376,338","-0.000626","[-0.002484, +0.001232]","-0.000969","[-0.3843%, +0.1906%]","0.508943","-","0.192720","-0.000180","-0.000120","0.645950","371,545","-0.000624","[-0.00249, +0.001242]","-0.000965","[-0.385%, +0.1921%]","0.512278","-","0.192720","-0.000179","-0.000120"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_sdb","","mean","0.686636","85,177","0.688877","82,524","0.002242","[-0.001916, +0.0064]","0.003265","[-0.2791%, +0.9321%]","0.290680","-","0.038325","0.000129","0.000086","0.683485","82,329","-0.003151","[-0.007435, +0.001133]","-0.004589","[-1.0828%, +0.165%]","0.149441","-","0.038325","-0.000179","-0.000120"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_sdb","","mean","0.680558","1,516,916","0.680799","1,474,515","0.000241","[-0.000672, +0.001154]","0.000354","[-0.0988%, +0.1696%]","0.605088","-","0.689084","0.000248","0.000166","0.680824","1,459,936","0.000266","[-0.000649, +0.001182]","0.000392","[-0.0953%, +0.1736%]","0.568232","-","0.689084","0.000275","0.000184"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_sdb","","mean","0.662477","1,877,404","0.662486","1,825,586","0.000010","[-0.000826, +0.000845]","0.000015","[-0.1247%, +0.1276%]","0.982029","-","0.858681","0.000012","0.000008","0.662091","1,805,787","-0.000385","[-0.001224, +0.000454]","-0.000582","[-0.1848%, +0.0685%]","0.367957","-","0.858681","-0.000495","-0.000331"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_sdb","","mean","0.827612","195,592","0.828571","190,454","0.000959","[-0.001435, +0.003353]","0.001159","[-0.1733%, +0.4051%]","0.432298","-","0.062860","0.000091","0.000061","0.829022","191,169","0.001410","[-0.000981, +0.003802]","0.001704","[-0.1186%, +0.4594%]","0.247783","-","0.062860","0.000133","0.000089"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_sdb","","mean","0.000000","24,527","0.000040","24,119","0.000040","[-0.000039, +0.00012]","","[]","0.320017","-","0.005502","0.000000","0.000000","0.000000","23,460","0.000000","[0, 0]","","[]","1.000000","-","0.005502","0.000000","0.000000"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_sdb","","mean","0.677721","1,942,577","0.677933","1,889,237","0.000212","[-0.0006, +0.001025]","0.000313","[-0.0886%, +0.1512%]","0.608722","-","0.916159","0.000291","0.000194","0.677655","1,870,295","-0.000066","[-0.000882, +0.00075]","-0.000097","[-0.1301%, +0.1106%]","0.874106","-","0.916159","-0.000090","-0.000060"
"dbd_avg_total_o1_o2_gov","Metric","N/A","","mean","57.643638","1,961,619","57.568085","1,907,980","-0.073771","[-0.150919, +0.003376]","-0.001280","[-0.2618%, +0.0059%]","0.060904","-","0.921771","-0.001194","-0.067996","58.005204","1,888,614","0.349785","[+0.271868, +0.427702]","0.006068","[+0.4716%, +0.742%]","0.000000","Significant","0.921771","0.005660","0.322353"
"dbd_avg_total_o1_o2_subtotal","Metric","N/A","","mean","40.879743","1,961,620","40.824105","1,907,982","-0.053647","[-0.114523, +0.00723]","-0.001312","[-0.2801%, +0.0177%]","0.084134","-","0.921550","-0.001223","-0.049435","41.088122","1,888,614","0.195230","[+0.133527, +0.256933]","0.004776","[+0.3266%, +0.6285%]","0.000000","Significant","0.921550","0.004450","0.179876"
"dbd_avg_total_o1_o2_vp","Metric","N/A","","mean","2.348694","1,961,619","2.328231","1,907,980","-0.022924","[-0.046814, +0.000967]","-0.009760","[-1.9932%, +0.0412%]","0.060017","-","0.921539","-0.009317","-0.021124","2.509937","1,888,614","0.157820","[+0.134585, +0.181055]","0.067195","[+5.7302%, +7.7088%]","0.000000","Significant","0.921539","0.064133","0.145406"
"dbd_bottom_sheet_load_latency_ios","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_cx_retrial","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_existing_attach_rate_post_checkout","Metric","N/A","","mean","0.052324","4,648,612","0.052353","4,512,976","0.000033","[-0.000142, +0.000208]","0.000623","[-0.272%, +0.3966%]","0.714869","-","0.923295","0.000575","0.000030","0.051743","4,509,389","-0.000598","[-0.000772, -0.000424]","-0.011428","[-1.4756%, -0.81%]","0.000000","Significant","0.923295","-0.010554","-0.000552"
"dbd_new_attach_rate_post_checkout","Metric","N/A","","mean","0.015223","8,612,474","0.015270","8,354,649","0.000038","[-0.000017, +0.000093]","0.002498","[-0.1114%, +0.6109%]","0.175247","-","0.890586","0.002247","0.000034","0.014987","8,351,649","-0.000242","[-0.000297, -0.000188]","-0.015916","[-1.951%, -1.2323%]","0.000000","Significant","0.890586","-0.014320","-0.000216"
"dbd_nv_trials_net_new_per_cx","Metric","N/A","","mean","0.021188","22,459,406","0.021213","21,797,003","0.000025","[-0.000207, +0.000257]","0.001180","[-0.9778%, +1.2137%]","0.832847","-","0.921060","0.001087","0.000626","0.020838","21,803,134","-0.000350","[-0.000581, -0.000119]","-0.016519","[-2.7433%, -0.5605%]","0.003012","Significant","0.921060","-0.015215","-0.008761"
"dbd_nv_trials_per_cx","Metric","N/A","","mean","0.033021","22,459,406","0.033100","21,797,003","0.000079","[-0.00021, +0.000368]","0.002392","[-0.6352%, +1.1137%]","0.591802","-","0.923124","0.002209","0.001977","0.032550","21,803,134","-0.000471","[-0.000759, -0.000183]","-0.014264","[-2.2973%, -0.5554%]","0.001328","Significant","0.923124","-0.013167","-0.011790"
"dbd_nv_trials_retrial_per_cx","Metric","N/A","","mean","0.011833","22,459,406","0.011887","21,797,003","0.000054","[-0.000118, +0.000226]","0.004564","[-0.9989%, +1.9116%]","0.538795","-","0.926843","0.004230","0.001352","0.011711","21,803,134","-0.000122","[-0.000294, +0.00005]","-0.010310","[-2.4804%, +0.4184%]","0.163254","-","0.926843","-0.009556","-0.003054"
"dbd_o2_aov","Metric","N/A","","mean","20.999365","1,928,317","20.947547","1,875,220","-0.051818","[-0.08487, -0.018765]","-0.002468","[-0.4042%, -0.0894%]","0.002121","Significant","0.922137","-0.002307","-0.047780","21.224617","1,856,409","0.225252","[+0.191754, +0.25875]","0.010727","[+0.9131%, +1.2322%]","0.000000","Significant","0.922137","0.010026","0.207669"
"dbd_o2_gmv","Metric","N/A","","mean","3.800674","22,459,406","3.796072","21,797,003","-0.004602","[-0.018826, +0.009622]","-0.001211","[-0.4953%, +0.2532%]","0.526015","-","0.934971","-0.001132","-0.049623","3.799244","21,803,134","-0.001430","[-0.015721, +0.012861]","-0.000376","[-0.4136%, +0.3384%]","0.844514","-","0.934971","-0.000352","-0.015420"
"dbd_o2_subtotal","Metric","N/A","","mean","13.527922","1,928,317","13.480876","1,875,220","-0.047045","[-0.074676, -0.019415]","-0.003478","[-0.552%, -0.1435%]","0.000846","Significant","0.922137","-0.003251","-0.043380","13.619290","1,856,409","0.091369","[+0.063256, +0.119481]","0.006754","[+0.4676%, +0.8832%]","0.000000","Significant","0.922137","0.006314","0.084237"
"dbd_o2_trials_per_cx","Metric","N/A","","mean","0.048985","13,338,776","0.049126","12,941,319","0.000141","[-0.000024, +0.000306]","0.002878","[-0.0494%, +0.625%]","0.094305","-","0.901318","0.002594","0.000128","0.048275","12,943,550","-0.000710","[-0.000874, -0.000546]","-0.014494","[-1.7852%, -1.1137%]","0.000000","Significant","0.901318","-0.013064","-0.000645"
"dbd_o2_vp","Metric","N/A","","mean","-0.855831","1,928,317","-0.868393","1,875,220","-0.012562","[-0.032218, +0.007095]","-0.014678","[+3.7646%, -0.829%]","0.210379","-","0.922137","0.013609","-0.011583","-0.723380","1,856,409","0.132451","[+0.114198, +0.150705]","0.154763","[-13.3435%, -17.6092%]","0.000000","Significant","0.922137","-0.143473","0.122113"
"dbd_o2_vp_per_cx","Metric","N/A","","mean","-0.154897","22,459,406","-0.157368","21,797,003","-0.002472","[-0.006078, +0.001135]","-0.015956","[+3.9237%, -0.7325%]","0.179179","-","0.927383","0.014797","-0.026650","-0.129486","21,803,134","0.025411","[+0.022086, +0.028735]","0.164048","[-14.2588%, -18.5509%]","0.000000","Significant","0.927383","-0.152136","0.274000"
"dbd_o_2_trials_per_cx_post_checkout","Metric","N/A","","mean","0.045568","13,254,685","0.045695","12,859,585","0.000127","[-0.000033, +0.000287]","0.002787","[-0.0726%, +0.63%]","0.120000","-","0.924838","0.002578","0.000115","0.044838","12,862,020","-0.000730","[-0.000889, -0.000571]","-0.016020","[-1.9517%, -1.2523%]","0.000000","Significant","0.924838","-0.014816","-0.000659"
"dbd_o_2_trials_per_cx_pre_checkout","Metric","N/A","","mean","0.002825","13,254,685","0.002834","12,859,585","0.000009","[-0.000032, +0.00005]","0.003186","[-1.1238%, +1.761%]","0.665082","-","0.945464","0.003012","0.000008","0.002845","12,862,020","0.000020","[-0.000021, +0.000061]","0.007080","[-0.7359%, +2.1518%]","0.336539","-","0.945464","0.006694","0.000018"
"dbd_order_frequency","Metric","N/A","","mean","2.108018","1,928,317","2.106424","1,875,220","-0.001594","[-0.007329, +0.004141]","-0.000756","[-0.3477%, +0.1964%]","0.585932","-","0.922137","-0.000697","-0.001473","2.102338","1,856,409","-0.005680","[-0.011404, +0.000044]","-0.002694","[-0.541%, +0.0021%]","0.051774","-","0.922137","-0.002485","-0.005248"
"dbd_order_frequency_14d","Metric","N/A","","mean","1.323378","906,575","1.323273","881,520","-0.000105","[-0.002741, +0.002531]","-0.000079","[-0.2071%, +0.1912%]","0.937767","-","0.272182","-0.000022","-0.000046","1.320347","870,813","-0.003031","[-0.005668, -0.000394]","-0.002290","[-0.4283%, -0.0298%]","0.024245","Significant","0.272182","-0.000623","-0.001316"
"dbd_order_frequency_28d","Metric","N/A","","mean","1.546122","1,257,396","1.545777","1,223,046","-0.000345","[-0.003886, +0.003196]","-0.000223","[-0.2513%, +0.2067%]","0.848538","-","0.441178","-0.000098","-0.000208","1.542751","1,208,975","-0.003371","[-0.006916, +0.000174]","-0.002180","[-0.4473%, +0.0112%]","0.062341","-","0.441178","-0.000962","-0.002030"
"dbd_order_frequency_7d","Metric","N/A","","mean","1.178286","671,073","1.177023","652,972","-0.001263","[-0.003176, +0.00065]","-0.001072","[-0.2696%, +0.0552%]","0.195749","-","0.179372","-0.000192","-0.000406","1.175307","643,990","-0.002979","[-0.004893, -0.001065]","-0.002528","[-0.4152%, -0.0904%]","0.002279","Significant","0.179372","-0.000454","-0.000957"
"dbd_order_rate","Metric","N/A","","mean","0.180990","22,459,406","0.181218","21,797,003","0.000228","[-0.000375, +0.000831]","0.001260","[-0.2074%, +0.4594%]","0.458951","-","0.922286","0.001162","0.002459","0.179002","21,803,134","-0.001988","[-0.002588, -0.001388]","-0.010984","[-1.4298%, -0.767%]","0.000000","Significant","0.922286","-0.010130","-0.021436"
"dbd_order_rate_7d","Metric","N/A","","mean","0.035206","22,459,406","0.035260","21,797,003","0.000054","[-0.000077, +0.000185]","0.001534","[-0.2197%, +0.5265%]","0.420410","-","0.179803","0.000276","0.000582","0.034715","21,803,134","-0.000491","[-0.000622, -0.00036]","-0.013946","[-1.766%, -1.0233%]","0.000000","Significant","0.179803","-0.002508","-0.005294"
"dbd_retention_d7","Metric","N/A","","mean","0.274408","1,866,149","0.274594","1,814,492","0.000219","[-0.001355, +0.001793]","0.000798","[-0.4937%, +0.6532%]","0.785186","-","0.920707","0.000739","0.000201","0.272683","1,796,149","-0.002193","[-0.003764, -0.000622]","-0.007992","[-1.3716%, -0.2267%]","0.006216","Significant","0.920707","-0.007409","-0.002019"
"doubledash_active_user","Metric","N/A","","mean","0.085858","22,459,406","0.086031","21,797,003","0.000173","[+0.000008, +0.000338]","0.002015","[+0.0091%, +0.3939%]","0.040087","Significant","0.924015","0.001862","0.001865","0.085144","21,803,134","-0.000714","[-0.000879, -0.000549]","-0.008316","[-1.0235%, -0.6397%]","0.000000","Significant","0.924015","-0.007684","-0.007699"
"doubledash_l_28_d_mau","Metric","N/A","","mean","0.042458","22,459,406","0.042501","21,797,003","0.000043","[-0.000076, +0.000162]","0.001013","[-0.1786%, +0.3812%]","0.478255","-","0.375998","0.000381","0.000381","0.042079","21,803,134","-0.000379","[-0.000498, -0.00026]","-0.008926","[-1.1719%, -0.6134%]","0.000000","Significant","0.375998","-0.003356","-0.003360"
"doubledash_l_28_d_post_checkout_mau","Metric","N/A","","mean","0.039675","22,459,406","0.039693","21,797,003","0.000018","[-0.000097, +0.000133]","0.000454","[-0.2446%, +0.3353%]","0.759097","-","0.365155","0.000166","0.000160","0.039266","21,803,134","-0.000409","[-0.000524, -0.000294]","-0.010309","[-1.3201%, -0.7417%]","0.000000","Significant","0.365155","-0.003764","-0.003626"
"doubledash_l_28_d_pre_checkout_mau","Metric","N/A","","mean","0.004514","22,459,406","0.004540","21,797,003","0.000026","[-0.000014, +0.000066]","0.005760","[-0.3004%, +1.4524%]","0.197707","-","0.428465","0.002468","0.000230","0.004537","21,803,134","0.000023","[-0.000017, +0.000063]","0.005095","[-0.3667%, +1.3857%]","0.254387","-","0.428465","0.002183","0.000204"
"doubledash_post_checkout_active_user","Metric","N/A","","mean","0.082089","22,459,406","0.082235","21,797,003","0.000146","[-0.000016, +0.000308]","0.001779","[-0.0193%, +0.375%]","0.077022","-","0.922689","0.001641","0.001574","0.081329","21,803,134","-0.000760","[-0.000921, -0.000599]","-0.009258","[-1.1224%, -0.7292%]","0.000000","Significant","0.922689","-0.008542","-0.008195"
"doubledash_post_checkout_wau","Metric","N/A","","mean","0.011384","22,459,406","0.011395","21,797,003","0.000011","[-0.000052, +0.000074]","0.000966","[-0.4527%, +0.6459%]","0.730260","-","0.121583","0.000117","0.000113","0.011244","21,803,134","-0.000140","[-0.000202, -0.000078]","-0.012298","[-1.7772%, -0.6824%]","0.000011","Significant","0.121583","-0.001495","-0.001434"
"doubledash_pre_checkout_active_user","Metric","N/A","","mean","0.008520","22,459,406","0.008548","21,797,003","0.000028","[-0.000026, +0.000082]","0.003286","[-0.3076%, +0.9649%]","0.311348","-","0.955661","0.003141","0.000302","0.008578","21,803,134","0.000058","[+0.000004, +0.000112]","0.006808","[+0.044%, +1.3175%]","0.036132","Significant","0.955661","0.006506","0.000625"
"doubledash_pre_checkout_wau","Metric","N/A","","mean","0.001319","22,459,406","0.001316","21,797,003","-0.000003","[-0.000024, +0.000018]","-0.002274","[-1.8482%, +1.3933%]","0.783280","-","0.141496","-0.000322","-0.000031","0.001316","21,803,134","-0.000003","[-0.000024, +0.000018]","-0.002274","[-1.8481%, +1.3932%]","0.783265","-","0.141496","-0.000322","-0.000031"
"doubledash_wau","Metric","N/A","","mean","0.012489","22,459,406","0.012502","21,797,003","0.000013","[-0.000052, +0.000078]","0.001041","[-0.4201%, +0.6282%]","0.697103","-","0.127869","0.000133","0.000133","0.012347","21,803,134","-0.000142","[-0.000207, -0.000077]","-0.011370","[-1.6595%, -0.6145%]","0.000020","Significant","0.127869","-0.001454","-0.001455"
"dp_paid_pause_cancel","Metric","N/A","","mean","0.157741","4,302,584","0.157867","4,175,169","0.000126","[-0.000389, +0.000641]","0.000799","[-0.2469%, +0.4066%]","0.631861","-","0.588054","0.000470","0.000087","0.157914","4,174,849","0.000173","[-0.000343, +0.000689]","0.001097","[-0.2174%, +0.4367%]","0.510987","-","0.588054","0.000645","0.000119"
"dsmp_perc_mx_trialers","Metric","N/A","","mean","0.259288","13,735,395","0.259458","13,326,825","0.000171","[-0.000062, +0.000403]","0.000658","[-0.024%, +0.1555%]","0.151212","-","0.907564","0.000591","0.000155","0.259344","13,328,296","0.000056","[-0.000177, +0.000289]","0.000216","[-0.0682%, +0.1114%]","0.636866","-","0.907564","0.000194","0.000051"
"first_contact_resolution_rate","Metric","N/A","","mean","0.826223","1,185,820","0.826785","1,153,608","0.000561","[-0.000577, +0.0017]","0.000679","[-0.0699%, +0.2057%]","0.333889","-","0.305789","0.000208","0.000172","0.826695","1,154,613","0.000472","[-0.000648, +0.001592]","0.000571","[-0.0785%, +0.1927%]","0.409114","-","0.305789","0.000175","0.000144"
"gov_per_order_curie","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"hp_session_long_term_relevance_v_2","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"hqdr_ratio","Metric","N/A","","mean","0.921058","13,973,057","0.920949","13,556,725","-0.000110","[-0.000216, -0.000003]","-0.000119","[-0.0235%, -0.0003%]","0.043783","Significant","0.908625","-0.000108","-0.000100","0.921018","13,559,664","-0.000040","[-0.000147, +0.000067]","-0.000044","[-0.0159%, +0.0072%]","0.461722","-","0.908625","-0.000040","-0.000036"
"o1_aov","Metric","N/A","","mean","37.177287","13,816,306","37.185512","13,405,608","0.008225","[-0.01228, +0.028731]","0.000221","[-0.033%, +0.0773%]","0.431756","-","0.909666","0.000204","0.007482","37.209981","13,407,032","0.032694","[+0.01094, +0.054449]","0.000879","[+0.0294%, +0.1465%]","0.003223","Significant","0.909666","0.000810","0.029740"
"o1_gmv","Metric","N/A","","mean","189.146725","22,459,406","189.167700","21,797,003","0.020975","[-0.230441, +0.27239]","0.000111","[-0.1218%, +0.144%]","0.870114","-","0.921053","0.000102","0.031013","189.186907","21,803,134","0.040182","[-0.215707, +0.29607]","0.000212","[-0.114%, +0.1565%]","0.758258","-","0.921053","0.000196","0.059413"
"o1_subtotal","Metric","N/A","","mean","26.674589","13,816,306","26.684977","13,405,608","0.010387","[-0.005452, +0.026227]","0.000389","[-0.0204%, +0.0983%]","0.198681","-","0.909666","0.000358","0.009449","26.701162","13,407,032","0.026573","[+0.009417, +0.043729]","0.000996","[+0.0353%, +0.1639%]","0.002399","Significant","0.909666","0.000916","0.024172"
"o1_vp","Metric","N/A","","mean","3.178848","13,816,306","3.177180","13,405,608","-0.001668","[-0.017564, +0.014227]","-0.000525","[-0.5525%, +0.4475%]","0.837017","-","0.909666","-0.000495","-0.001518","3.162020","13,407,032","-0.016828","[-0.03801, +0.004353]","-0.005294","[-1.1957%, +0.1369%]","0.119436","-","0.909666","-0.004991","-0.015308"
"o1_vp_per_cx","Metric","N/A","","mean","16.173012","22,459,406","16.162741","21,797,003","-0.010271","[-0.092616, +0.072074]","-0.000635","[-0.5727%, +0.4456%]","0.806863","-","0.942797","-0.000599","-0.015187","16.076674","21,803,134","-0.096338","[-0.205171, +0.012494]","-0.005957","[-1.2686%, +0.0773%]","0.082749","-","0.942797","-0.005616","-0.142447"
"order_frequency_per_entity_7d","Metric","N/A","","mean","1.994688","12,620,420","1.995241","12,244,924","0.000553","[-0.000842, +0.001948]","0.000277","[-0.0422%, +0.0977%]","0.437250","-","0.193631","0.000054","0.000459","1.993628","12,246,112","-0.001060","[-0.002459, +0.000339]","-0.000531","[-0.1233%, +0.017%]","0.137527","-","0.193631","-0.000103","-0.000880"
"order_inflation_rate","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"order_rate_per_entity_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ox_subtotal_combined","Metric","N/A","","mean","27.093259","10,636,921","27.103001","10,319,376","0.009742","[-0.007718, +0.027202]","0.000360","[-0.0285%, +0.1004%]","0.274154","-","0.848764","0.000307","0.008269","27.119776","10,321,995","0.026517","[+0.007561, +0.045473]","0.000979","[+0.0279%, +0.1678%]","0.006111","Significant","0.848764","0.000835","0.022506"
"smb_rx_filtered_core_volume","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"variable_profit_per_order","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"vol_from_over_25","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"