"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","10 mins treatment Value","10 mins treatment Exposure Volume","15 mins treatment Value","15 mins treatment Exposure Volume","15 mins treatment Absolute Impact","15 mins treatment Absolute Impact Confidence Interval","15 mins treatment Relative Impact","15 mins treatment Relative Impact Confidence Interval","15 mins treatment P Value","15 mins treatment Significance","15 mins treatment Coverage","15 mins treatment Relative Global Lift","15 mins treatment Absolute Global Lift"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.025368","495,923","0.025087","523,692","-0.000282","[-0.000838, +0.000275]","-0.011104","[-3.3049%, +1.0841%]","0.321321","-","","",""
"dbd_avg_o2_asap","Metric","N/A","","mean","34.159996","490,378","34.034955","518,264","-0.117989","[-0.193041, -0.042937]","-0.003454","[-0.5651%, -0.1257%]","0.002061","Significant","","",""
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.030462","509,332","0.031558","538,221","0.001060","[+0.000454, +0.001666]","0.034798","[+1.4902%, +5.4693%]","0.000608","Significant","","",""
"dbd_avg_o2_gov","Metric","N/A","","mean","20.765745","509,511","20.997669","538,418","0.240555","[+0.185974, +0.295135]","0.011584","[+0.8956%, +1.4213%]","0.000000","Significant","","",""
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.919614","509,509","0.918538","538,413","-0.001068","[-0.002026, -0.00011]","-0.001161","[-0.2203%, -0.012%]","0.028882","Significant","","",""
"dbd_avg_o2_package","Metric","N/A","","mean","0.681097","495,867","0.651449","523,641","-0.029625","[-0.031346, -0.027904]","-0.043496","[-4.6023%, -4.097%]","0.000000","Significant","","",""
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.698540","509,511","0.674222","538,419","-0.024264","[-0.025927, -0.022601]","-0.034735","[-3.7115%, -3.2354%]","0.000000","Significant","","",""
"dbd_avg_o2_subtotals","Metric","N/A","","mean","13.269282","509,511","13.490969","538,419","0.227971","[+0.185014, +0.270927]","0.017180","[+1.3943%, +2.0418%]","0.000000","Significant","","",""
"dbd_avg_o2_total_items","Metric","N/A","","mean","2.292331","509,511","2.330159","538,419","0.040991","[+0.031741, +0.050241]","0.017882","[+1.3847%, +2.1917%]","0.000000","Significant","","",""
"dbd_avg_o2_vp","Metric","N/A","","mean","-0.942101","509,511","-0.911913","538,418","0.030534","[+0.005589, +0.05548]","-0.032411","[-0.5932%, -5.8889%]","0.016438","Significant","","",""
"dbd_funnel_time_to_purchase","Metric","N/A","","mean","2.982680","474,574","3.096716","481,771","0.118698","[+0.041199, +0.196197]","0.039796","[+1.3813%, +6.5779%]","0.002683","Significant","","",""
"dbd_new_attach_rate_post_checkout","Metric","N/A","","mean","0.016654","4,032,754","0.016528","4,050,267","-0.000135","[-0.000271, +0.000001]","-0.008108","[-1.6257%, +0.0041%]","0.051177","-","","",""
"dbd_nv_o2_trials_per_cx","Metric","N/A","","mean","0.006254","7,338,198","0.006699","7,341,743","0.000444","[+0.000362, +0.000527]","0.071048","[+5.7829%, +8.4268%]","0.000000","Significant","","",""
"dbd_total_o2_gmv","Metric","N/A","","mean","1.198531","10,794,757","1.288104","10,796,349","0.090265","[+0.084459, +0.096071]","0.075313","[+7.0469%, +8.0158%]","0.000000","Significant","","",""
"dbd_total_o2_orders","Metric","N/A","","mean","0.057717","10,794,757","0.061345","10,796,349","0.003668","[+0.003428, +0.003909]","0.063557","[+5.9396%, +6.7719%]","0.000000","Significant","","",""