"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"avg_r2c","Metric","N/A","","mean","13.368961","5,244,143","13.377459","5,089,222","0.009263","[+0.001466, +0.017059]","0.000693","[+0.011%, +0.1276%]","0.019888","Significant","0.615214","0.000438","0.005699","13.379455","5,087,647","0.010777","[+0.002731, +0.018823]","0.000806","[+0.0204%, +0.1408%]","0.008661","Significant","0.615214","0.000510","0.006630"
"cng_order_rate_nc","Metric","N/A","","mean","0.289697","10,638,249","0.289564","10,322,732","-0.000127","[-0.000887, +0.000633]","-0.000440","[-0.3063%, +0.2184%]","0.742587","-","0.984489","-0.000433","-0.000784","0.289408","10,323,195","-0.000083","[-0.000843, +0.000677]","-0.000287","[-0.2909%, +0.2336%]","0.830299","-","0.984489","-0.000282","-0.000511"
"consumer_mto","Metric","N/A","","mean","0.042285","10,638,249","0.042310","10,322,732","-0.000010","[-0.00028, +0.000259]","-0.000247","[-0.6627%, +0.6133%]","0.939439","-","0.785715","-0.000194","-0.000275","0.042433","10,323,195","0.000135","[-0.000137, +0.000408]","0.003198","[-0.3243%, +0.964%]","0.330480","-","0.785715","0.002513","0.003557"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"consumers_mau","Metric","N/A","","mean","0.815449","10,638,249","0.815881","10,322,732","0.000376","[+0.000067, +0.000684]","0.000461","[+0.0082%, +0.0839%]","0.017103","Significant","0.687957","0.000317","0.000159","0.815595","10,323,195","0.000153","[-0.000156, +0.000462]","0.000188","[-0.0191%, +0.0566%]","0.331617","-","0.687957","0.000129","0.000065"
"dashpass_paid_balance","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dashpass_signup","Metric","N/A","","mean","0.028545","10,638,249","0.028512","10,322,732","-0.000033","[-0.000178, +0.000112]","-0.001160","[-0.6232%, +0.3912%]","0.654037","-","0.865108","-0.001003","-0.000858","0.028555","10,323,195","0.000010","[-0.000135, +0.000155]","0.000347","[-0.4721%, +0.5416%]","0.893161","-","0.865108","0.000300","0.000257"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.036739","7,625,804","0.037048","7,407,084","0.000313","[+0.000166, +0.000459]","0.008515","[+0.4529%, +1.2502%]","0.000028","Significant","0.975589","0.008310","0.000305","0.037061","7,404,334","0.000333","[+0.000186, +0.000479]","0.009060","[+0.507%, +1.305%]","0.000009","Significant","0.975589","0.008841","0.000325"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.040728","7,944,134","0.041031","7,711,664","0.000306","[+0.000152, +0.00046]","0.007514","[+0.3737%, +1.129%]","0.000097","Significant","0.975408","0.007337","0.000298","0.041070","7,709,259","0.000353","[+0.000199, +0.000507]","0.008665","[+0.4884%, +1.2445%]","0.000007","Significant","0.975408","0.008461","0.000344"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.006846","7,944,134","0.006841","7,711,664","-0.000005","[-0.000073, +0.000062]","-0.000761","[-1.0637%, +0.9115%]","0.879891","-","0.977089","-0.000746","-0.000005","0.006872","7,709,259","0.000027","[-0.000041, +0.000094]","0.003892","[-0.6004%, +1.3788%]","0.440803","-","0.977089","0.003815","0.000026"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.028058","698,539","0.028016","683,959","-0.000038","[-0.000523, +0.000446]","-0.001358","[-1.8624%, +1.5908%]","0.877495","-","0.976537","-0.001329","-0.000037","0.028148","685,767","0.000096","[-0.000385, +0.000576]","0.003412","[-1.3706%, +2.0531%]","0.696027","-","0.976537","0.003340","0.000093"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.025426","713,402","0.025558","698,710","0.000116","[-0.000333, +0.000566]","0.004576","[-1.3106%, +2.2258%]","0.612000","-","0.976419","0.004447","0.000114","0.025576","700,520","0.000125","[-0.000324, +0.000573]","0.004900","[-1.2746%, +2.2546%]","0.586271","-","0.976419","0.004761","0.000122"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.112875","713,457","4.118949","698,773","0.008685","[-0.002879, +0.02025]","0.002112","[-0.07%, +0.4923%]","0.141030","-","0.976416","0.002060","0.008480","4.124051","700,578","0.014970","[+0.003951, +0.025989]","0.003640","[+0.0961%, +0.6319%]","0.007752","Significant","0.976416","0.003551","0.014616"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.920041","713,455","0.919560","698,770","-0.000483","[-0.001282, +0.000315]","-0.000525","[-0.1393%, +0.0343%]","0.235615","-","0.976417","-0.000513","-0.000472","0.919862","700,575","-0.000229","[-0.001023, +0.000565]","-0.000249","[-0.1112%, +0.0614%]","0.571408","-","0.976417","-0.000243","-0.000224"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.016978","698,592","0.016995","684,019","0.000037","[-0.000344, +0.000419]","0.002193","[-2.0289%, +2.4675%]","0.848388","-","0.976535","0.002136","0.000036","0.016661","685,821","-0.000284","[-0.000663, +0.000096]","-0.016702","[-3.9035%, +0.563%]","0.142692","-","0.976535","-0.016265","-0.000277"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.007979","698,539","0.008134","683,959","0.000156","[-0.000117, +0.000428]","0.019508","[-1.4684%, +5.37%]","0.263454","-","0.976537","0.018995","0.000152","0.008108","685,767","0.000130","[-0.000145, +0.000405]","0.016306","[-1.8189%, +5.0801%]","0.354199","-","0.976537","0.015876","0.000127"
"dbd_avg_o2_package","Metric","N/A","","mean","0.675676","698,539","0.674872","683,959","-0.000890","[-0.002316, +0.000536]","-0.001317","[-0.3428%, +0.0794%]","0.221334","-","0.976536","-0.001288","-0.000869","0.675155","685,767","-0.000636","[-0.00206, +0.000788]","-0.000941","[-0.3048%, +0.1166%]","0.381275","-","0.976536","-0.000920","-0.000621"
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.672588","713,457","0.672264","698,774","-0.000422","[-0.001826, +0.000982]","-0.000627","[-0.2714%, +0.1461%]","0.556224","-","0.976417","-0.000613","-0.000412","0.672111","700,578","-0.000602","[-0.002005, +0.000801]","-0.000895","[-0.2981%, +0.119%]","0.400173","-","0.976417","-0.000875","-0.000588"
"dbd_bottom_sheet_load_latency_ios","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_cx_retrial","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_existing_attach_rate_post_checkout","Metric","N/A","","mean","0.049471","3,701,611","0.049738","3,594,501","0.000264","[+0.000048, +0.000481]","0.005345","[+0.0976%, +0.9714%]","0.016483","Significant","0.975126","0.005217","0.000258","0.049720","3,594,726","0.000276","[+0.000059, +0.000492]","0.005576","[+0.1198%, +0.9954%]","0.012554","Significant","0.975126","0.005442","0.000269"
"dbd_new_attach_rate_post_checkout","Metric","N/A","","mean","0.014933","3,989,890","0.015315","3,877,426","0.000378","[+0.000261, +0.000496]","0.025336","[+1.7483%, +3.3189%]","0.000000","Significant","0.976388","0.024701","0.000369","0.015395","3,875,114","0.000460","[+0.000342, +0.000577]","0.030797","[+2.2932%, +3.8663%]","0.000000","Significant","0.976388","0.030026","0.000449"
"dbd_nv_trials_net_new_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_nv_trials_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_nv_trials_retrial_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_o2_aov","Metric","N/A","","mean","20.505985","700,087","20.437755","685,789","-0.061435","[-0.10954, -0.013329]","-0.002996","[-0.5342%, -0.065%]","0.012314","Significant","0.976616","-0.002929","-0.059996","20.459275","687,593","-0.034589","[-0.08271, +0.013533]","-0.001687","[-0.4033%, +0.066%]","0.158898","-","0.976616","-0.001649","-0.033777"
"dbd_o2_gmv","Metric","N/A","","mean","1.884656","10,638,249","1.893067","10,322,732","0.009048","[+0.000846, +0.017249]","0.004801","[+0.0449%, +0.9152%]","0.030598","Significant","0.977651","0.004693","0.134003","1.896598","10,323,195","0.014890","[+0.006687, +0.023092]","0.007900","[+0.3548%, +1.2252%]","0.000374","Significant","0.977651","0.007724","0.220527"
"dbd_o2_subtotal","Metric","N/A","","mean","13.521880","700,087","13.457768","685,789","-0.056997","[-0.096668, -0.017327]","-0.004215","[-0.7149%, -0.1281%]","0.004863","Significant","0.976616","-0.004123","-0.055662","13.473619","687,593","-0.035379","[-0.075066, +0.004309]","-0.002616","[-0.5551%, +0.0319%]","0.080608","-","0.976616","-0.002559","-0.034549"
"dbd_o2_trials_per_cx","Metric","N/A","","mean","0.018178","7,944,867","0.018626","7,712,356","0.000447","[+0.000314, +0.00058]","0.024599","[+1.7275%, +3.1922%]","0.000000","Significant","0.975220","0.023989","0.000453","0.018731","7,710,028","0.000552","[+0.000419, +0.000685]","0.030362","[+2.3028%, +3.7696%]","0.000000","Significant","0.975220","0.029610","0.000560"
"dbd_o2_vp","Metric","N/A","","mean","-0.843405","700,087","-0.869164","685,789","-0.029533","[-0.054912, -0.004153]","0.035016","[+6.5108%, +0.4924%]","0.022567","Significant","0.976616","0.033923","-0.028841","-0.864227","687,593","-0.027264","[-0.048296, -0.006232]","0.032326","[+5.7263%, +0.7389%]","0.011064","Significant","0.976616","0.031315","-0.026624"
"dbd_o2_vp_per_cx","Metric","N/A","","mean","-0.077515","10,638,249","-0.080507","10,322,732","-0.003096","[-0.00548, -0.000713]","0.039942","[+7.069%, +0.9195%]","0.010893","Significant","0.968599","0.038688","-0.045857","-0.080115","10,323,195","-0.002701","[-0.004688, -0.000713]","0.034839","[+6.0483%, +0.9195%]","0.007751","Significant","0.968599","0.033745","-0.039998"
"dbd_o_2_trials_per_cx_post_checkout","Metric","N/A","","mean","0.015770","7,944,867","0.016182","7,712,356","0.000411","[+0.000287, +0.000535]","0.026078","[+1.8202%, +3.3953%]","0.000000","Significant","0.975009","0.025426","0.000417","0.016283","7,710,028","0.000512","[+0.000388, +0.000637]","0.032476","[+2.4587%, +4.0364%]","0.000000","Significant","0.975009","0.031664","0.000519"
"dbd_o_2_trials_per_cx_pre_checkout","Metric","N/A","","mean","0.002409","7,944,867","0.002444","7,712,356","0.000035","[-0.000014, +0.000084]","0.014491","[-0.5745%, +3.4728%]","0.160456","-","0.976611","0.014152","0.000035","0.002448","7,710,028","0.000039","[-0.00001, +0.000088]","0.016124","[-0.412%, +3.6368%]","0.118507","-","0.976611","0.015747","0.000039"
"dbd_order_frequency","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_frequency_14d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_frequency_28d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_frequency_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_rate","Metric","N/A","","mean","0.091908","10,638,249","0.092626","10,322,732","0.000788","[+0.000442, +0.001135]","0.008578","[+0.4811%, +1.2345%]","0.000008","Significant","0.976448","0.008376","0.011677","0.092701","10,323,195","0.000932","[+0.000586, +0.001278]","0.010137","[+0.6372%, +1.3903%]","0.000000","Significant","0.976448","0.009899","0.013800"
"dbd_order_rate_7d","Metric","N/A","","mean","0.072772","8,254,888","0.073272","8,010,266","0.000546","[+0.000238, +0.000853]","0.007498","[+0.3276%, +1.1721%]","0.000500","Significant","0.598824","0.004490","0.006272","0.073517","8,011,534","0.000850","[+0.000542, +0.001157]","0.011677","[+0.7454%, +1.5899%]","0.000000","Significant","0.598824","0.006992","0.009766"
"doubledash_active_user","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_l_28_d_mau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_l_28_d_post_checkout_mau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_l_28_d_pre_checkout_mau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_post_checkout_active_user","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_post_checkout_wau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_pre_checkout_active_user","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_pre_checkout_wau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"doubledash_wau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dp_paid_pause_cancel","Metric","N/A","","mean","0.023518","3,563,764","0.023549","3,458,736","0.000030","[-0.000196, +0.000257]","0.001287","[-0.8334%, +1.0907%]","0.793197","-","0.341664","0.000440","0.000013","0.023442","3,457,134","-0.000077","[-0.000303, +0.000149]","-0.003263","[-1.2873%, +0.6347%]","0.505765","-","0.341664","-0.001115","-0.000034"
"dsmp_perc_mx_trialers","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"first_contact_resolution_rate","Metric","N/A","","mean","0.851000","312,178","0.850130","302,268","-0.000269","[-0.002236, +0.001698]","-0.000316","[-0.2627%, +0.1996%]","0.788955","-","0.329741","-0.000106","-0.000089","0.850311","303,686","-0.000444","[-0.002534, +0.001646]","-0.000522","[-0.2977%, +0.1934%]","0.677109","-","0.329741","-0.000175","-0.000146"
"gc_smb_share_rx_volume","Metric","N/A","","mean","0.378103","7,060,674","0.378239","6,853,001","0.000114","[-0.000335, +0.000562]","0.000301","[-0.0885%, +0.1487%]","0.618934","-","0.969930","0.000292","0.000110","0.378191","6,852,311","0.000155","[-0.000312, +0.000622]","0.000410","[-0.0825%, +0.1645%]","0.515082","-","0.969930","0.000398","0.000150"
"gov_per_order_curie","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"hp_session_long_term_relevance_v_2","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"hqdr_ratio","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"nv_fco_all","Metric","N/A","","mean","9.999530","1,669,223","10.044265","1,619,947","0.044472","[-0.006184, +0.095129]","0.004447","[-0.0618%, +0.9513%]","0.085309","-","0.967096","0.004245","0.043008","9.987328","1,620,486","-0.010604","[-0.039556, +0.018347]","-0.001060","[-0.3956%, +0.1835%]","0.472826","-","0.967096","-0.001012","-0.010255"
"nv_hqfr","Metric","N/A","","mean","0.839221","1,106,420","0.839252","1,073,819","-0.000076","[-0.000913, +0.00076]","-0.000091","[-0.1088%, +0.0906%]","0.858005","-","0.971677","-0.000088","-0.000074","0.839581","1,074,657","0.000157","[-0.000677, +0.000991]","0.000187","[-0.0806%, +0.1181%]","0.711649","-","0.971677","0.000182","0.000153"
"nv_mau","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"o1_aov","Metric","N/A","","mean","37.098712","8,177,416","37.093939","7,937,985","-0.003878","[-0.032431, +0.024675]","-0.000105","[-0.0874%, +0.0665%]","0.790078","-","0.929205","-0.000102","-0.003604","37.118854","7,935,363","0.015066","[-0.015112, +0.045243]","0.000406","[-0.0407%, +0.122%]","0.327843","-","0.929205","0.000395","0.013999"
"o1_gmv","Metric","N/A","","mean","90.164789","10,638,249","90.192726","10,322,732","0.018072","[-0.070395, +0.106539]","0.000200","[-0.0781%, +0.1182%]","0.688873","-","0.971452","0.000195","0.023604","90.193596","10,323,195","0.076075","[-0.02161, +0.17376]","0.000844","[-0.024%, +0.1927%]","0.126917","-","0.971452","0.000820","0.099359"
"o1_subtotal","Metric","N/A","","mean","26.750428","8,177,416","26.746253","7,937,985","-0.002788","[-0.025774, +0.020198]","-0.000104","[-0.0963%, +0.0755%]","0.812096","-","0.929205","-0.000101","-0.002591","26.763775","7,935,363","0.010577","[-0.013713, +0.034868]","0.000395","[-0.0513%, +0.1303%]","0.393404","-","0.929205","0.000384","0.009828"
"o1_vp","Metric","N/A","","mean","3.334328","8,177,416","3.334184","7,937,985","0.000160","[-0.006713, +0.007032]","0.000048","[-0.2013%, +0.2109%]","0.963689","-","0.929205","0.000047","0.000148","3.343193","7,935,363","0.008289","[+0.001118, +0.01546]","0.002486","[+0.0335%, +0.4637%]","0.023479","Significant","0.929205","0.002431","0.007702"
"o1_vp_per_cx","Metric","N/A","","mean","8.103758","10,638,249","8.106962","10,322,732","0.003971","[-0.014361, +0.022304]","0.000490","[-0.1772%, +0.2752%]","0.671122","-","0.977693","0.000479","0.005187","8.123490","10,323,195","0.018963","[-0.000545, +0.038471]","0.002340","[-0.0067%, +0.4747%]","0.056756","-","0.977693","0.002288","0.024767"
"order_frequency_per_entity_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"order_inflation_rate","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"order_rate_per_entity_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ox_subtotal","Metric","N/A","","mean","26.225409","8,136,712","26.212162","7,898,306","-0.016049","[-0.041565, +0.009467]","-0.000612","[-0.1585%, +0.0361%]","0.217649","-","0.969322","-0.000594","-0.015557","26.228259","7,895,491","-0.000058","[-0.025445, +0.025329]","-0.000002","[-0.097%, +0.0966%]","0.996441","-","0.969322","-0.000002","-0.000056"
"ox_subtotal_combined","Metric","N/A","","mean","27.057812","5,383,825","27.055992","5,225,027","0.007854","[-0.016053, +0.031761]","0.000290","[-0.0593%, +0.1174%]","0.519637","-","0.712822","0.000201","0.005599","27.071436","5,223,611","0.011126","[-0.015027, +0.037279]","0.000411","[-0.0555%, +0.1378%]","0.404387","-","0.712822","0.000284","0.007931"
"smb_rx_filtered_core_volume","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"variable_profit_per_order","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"vol_from_over_25","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"