"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","15 mins treatment Value","15 mins treatment Exposure Volume","20 mins treatment Value","20 mins treatment Exposure Volume","20 mins treatment Absolute Impact","20 mins treatment Absolute Impact Confidence Interval","20 mins treatment Relative Impact","20 mins treatment Relative Impact Confidence Interval","20 mins treatment P Value","20 mins treatment Significance","20 mins treatment Coverage","20 mins treatment Relative Global Lift","20 mins treatment Absolute Global Lift"
"dbd_order_rate_7d","Metric","N/A","","mean","0.125617","5,159,675","0.128086","5,158,893","0.002515","[+0.001994, +0.003037]","0.020025","[+1.587%, +2.418%]","0.000000","Significant","0.652632","0.013069","0.016622"
"dbd_post_checkout_browsed_carousels_fyp","Metric","N/A","","mean","0.693247","7,026,642","0.716383","7,051,353","0.023038","[+0.02172, +0.024356]","0.033232","[+3.1331%, +3.5133%]","0.000000","Significant","","",""
"dbd_post_checkout_browsed_items_fyp","Metric","N/A","","mean","1.779745","7,026,642","1.844115","7,051,353","0.063685","[+0.059916, +0.067454]","0.035783","[+3.3665%, +3.7901%]","0.000000","Significant","","",""
"dbd_post_checkout_browsed_stores","Metric","N/A","","mean","1.596203","7,026,642","1.618888","7,051,353","0.021840","[+0.019576, +0.024105]","0.013683","[+1.2264%, +1.5102%]","0.000000","Significant","","",""
"dbd_post_checkout_browsed_stores_fyp","Metric","N/A","","mean","0.698552","7,026,642","0.721762","7,051,353","0.023087","[+0.021766, +0.024409]","0.033050","[+3.1159%, +3.4942%]","0.000000","Significant","","",""
"dbd_post_checkout_browsed_stores_nav_bar","Metric","N/A","","mean","1.298049","7,026,642","1.306892","7,051,353","0.008298","[+0.006329, +0.010267]","0.006393","[+0.4876%, +0.7909%]","0.000000","Significant","","",""
"dbd_post_checkout_fyp_carousel_item_depth","Metric","N/A","","mean","0.914281","6,080,132","0.924499","6,132,680","0.009851","[+0.008339, +0.011362]","0.010774","[+0.9121%, +1.2427%]","0.000000","Significant","","",""
"dbd_total_o2_gmv_1pc","Metric","N/A","","mean","0.039883","8,349,517","0.041312","8,347,174","0.001477","[+0.000334, +0.00262]","0.037030","[+0.8364%, +6.5695%]","0.011345","Significant","0.948408","0.035119","0.001268"
"dbd_total_o2_gmv_3pc","Metric","N/A","","mean","0.370474","8,349,517","0.383253","8,347,174","0.011945","[+0.008726, +0.015165]","0.032243","[+2.3553%, +4.0933%]","0.000000","Significant","0.865261","0.027899","0.010260"
"dbd_total_o2_gmv_alc","Metric","N/A","","mean","0.106594","8,349,517","0.108756","8,347,174","0.001757","[-0.00054, +0.004054]","0.016483","[-0.5069%, +3.8035%]","0.133870","-","0.963302","0.015878","0.001509"
"dbd_total_o2_gmv_flowers","Metric","N/A","","mean","0.000413","8,349,517","0.000383","8,347,174","-0.000030","[-0.000178, +0.000118]","-0.071843","[-43.0116%, +28.6431%]","0.694304","-","0.942013","-0.067677","-0.000025"
"dbd_total_o2_gmv_grocery","Metric","N/A","","mean","0.295738","8,349,517","0.306428","8,347,174","0.010695","[+0.006748, +0.014643]","0.036165","[+2.2816%, +4.9513%]","0.000000","Significant","0.957584","0.034631","0.009186"
"dbd_total_o2_gmv_nv","Metric","N/A","","mean","0.836370","8,349,517","0.864952","8,347,174","0.027343","[+0.021378, +0.033308]","0.032692","[+2.556%, +3.9824%]","0.000000","Significant","0.915041","0.029915","0.023485"
"dbd_total_o2_gmv_pets","Metric","N/A","","mean","0.010665","8,349,517","0.011785","8,347,174","0.001026","[+0.000165, +0.001886]","0.096174","[+1.5513%, +17.6836%]","0.019444","Significant","0.967432","0.093042","0.000881"
"dbd_total_o2_gmv_rx","Metric","N/A","","mean","1.256883","8,349,517","1.283294","8,347,174","0.026780","[+0.020372, +0.033188]","0.021307","[+1.6208%, +2.6405%]","0.000000","Significant","0.865328","0.018437","0.023001"
"dbd_total_o2_orders_1pc","Metric","N/A","","mean","0.002113","8,349,517","0.002162","8,347,174","0.000047","[-0.000002, +0.000096]","0.022412","[-0.0811%, +4.5636%]","0.058556","-","0.948585","0.021260","0.000041"
"dbd_total_o2_orders_3pc","Metric","N/A","","mean","0.022966","8,349,517","0.023597","8,347,174","0.000602","[+0.000432, +0.000773]","0.026222","[+1.8803%, +3.3642%]","0.000000","Significant","0.859422","0.022536","0.000517"
"dbd_total_o2_orders_alc","Metric","N/A","","mean","0.003820","8,349,517","0.003871","8,347,174","0.000048","[-0.00002, +0.000115]","0.012435","[-0.5201%, +3.0072%]","0.166974","-","0.962142","0.011965","0.000041"
"dbd_total_o2_orders_flowers","Metric","N/A","","mean","0.000010","8,349,517","0.000010","8,347,174","0.000000","[-0.000003, +0.000003]","-0.000190","[-30.3553%, +30.3173%]","0.999020","-","0.952434","0.000000","0.000000"
"dbd_total_o2_orders_grocery","Metric","N/A","","mean","0.011240","8,349,517","0.011574","8,347,174","0.000325","[+0.000209, +0.000441]","0.028890","[+1.8586%, +3.9194%]","0.000000","Significant","0.956291","0.027627","0.000279"
"dbd_total_o2_orders_nv","Metric","N/A","","mean","0.040858","8,349,517","0.041963","8,347,174","0.001060","[+0.00083, +0.00129]","0.025936","[+2.0305%, +3.1566%]","0.000000","Significant","0.899695","0.023334","0.000910"
"dbd_total_o2_orders_pets","Metric","N/A","","mean","0.000286","8,349,517","0.000300","8,347,174","0.000014","[-0.000003, +0.000031]","0.048163","[-1.1365%, +10.7691%]","0.112788","-","0.968275","0.046635","0.000012"
"dbd_total_o2_orders_rx","Metric","N/A","","mean","0.064288","8,349,517","0.065403","8,347,174","0.001060","[+0.000767, +0.001353]","0.016485","[+1.1931%, +2.1039%]","0.000000","Significant","0.848155","0.013982","0.000910"
"doubledash_active_user","Metric","N/A","","mean","0.080766","8,349,517","0.082247","8,347,174","0.001497","[+0.001243, +0.001752]","0.018538","[+1.5389%, +2.1688%]","0.000000","Significant","0.870461","0.016137","0.016009"
"doubledash_l_28_d_mau","Metric","N/A","","mean","0.167651","8,349,517","0.168428","8,347,174","0.000847","[+0.000513, +0.00118]","0.005050","[+0.3059%, +0.7041%]","0.000001","Significant","0.563249","0.002844","0.002841"
"doubledash_l_28_d_post_checkout_mau","Metric","N/A","","mean","0.138358","8,349,517","0.139281","8,347,174","0.000974","[+0.000662, +0.001286]","0.007038","[+0.4784%, +0.9292%]","0.000000","Significant","0.564010","0.003970","0.003267"
"doubledash_l_28_d_pre_checkout_mau","Metric","N/A","","mean","0.048690","8,349,517","0.048632","8,347,174","-0.000018","[-0.000214, +0.000179]","-0.000362","[-0.4404%, +0.3679%]","0.860570","-","0.578385","-0.000209","-0.000059"
"doubledash_post_checkout_active_user","Metric","N/A","","mean","0.061978","8,349,517","0.063593","8,347,174","0.001622","[+0.001394, +0.001849]","0.026165","[+2.2496%, +2.9833%]","0.000000","Significant","0.864128","0.022609","0.017339"
"doubledash_post_checkout_wau","Metric","N/A","","mean","0.054635","8,349,517","0.056011","8,347,174","0.001407","[+0.001194, +0.001621]","0.025760","[+2.1845%, +2.9674%]","0.000000","Significant","0.452657","0.011660","0.009215"
"doubledash_pre_checkout_active_user","Metric","N/A","","mean","0.022466","8,349,517","0.022403","8,347,174","-0.000049","[-0.000188, +0.00009]","-0.002183","[-0.8355%, +0.3988%]","0.488061","-","0.887406","-0.001938","-0.000524"
"doubledash_pre_checkout_wau","Metric","N/A","","mean","0.019499","8,349,517","0.019454","8,347,174","-0.000029","[-0.000158, +0.000101]","-0.001485","[-0.8124%, +0.5154%]","0.661069","-","0.467495","-0.000694","-0.000190"
"doubledash_wau","Metric","N/A","","mean","0.071313","8,349,517","0.072585","8,347,174","0.001313","[+0.001073, +0.001552]","0.018406","[+1.5045%, +2.1766%]","0.000000","Significant","0.468878","0.008630","0.008594"
"dp_paid_pause_cancel","Metric","N/A","","mean","0.008150","3,661,555","0.008067","3,661,737","-0.000083","[-0.000214, +0.000049]","-0.010123","[-2.624%, +0.5995%]","0.218349","-","0.164289","-0.001663","-0.000027"
"dsmp_order_frequency","Metric","N/A","","mean","2.443357","7,934,734","2.446036","7,934,139","0.001616","[-0.000209, +0.003442]","0.000662","[-0.0085%, +0.1409%]","0.082616","-","0.785270","0.000520","0.001239"
"dsmp_order_frequency_14d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dsmp_order_frequency_28d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dsmp_order_frequency_7d","Metric","N/A","","mean","3.046515","4,643,791","3.048912","4,645,419","0.002197","[-0.000466, +0.00486]","0.000721","[-0.0153%, +0.1595%]","0.105810","-","0.573033","0.000413","0.000986"
"dsmp_order_rate","Metric","N/A","","mean","2.321977","8,349,517","2.325001","8,347,174","0.002003","[+0.000225, +0.003781]","0.000863","[+0.0097%, +0.1628%]","0.027261","Significant","0.764626","0.000660","0.001656"
"dsmp_order_rate_14d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dsmp_order_rate_28d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"is_occasional_cx_NULL","Dimension","dsmp_order_rate_28d","","mean","0.060446","8,349,517","0.061023","8,347,174","0.000626","[-0.000131, +0.001384]","0.010362","[-0.2171%, +2.2895%]","0.105126","-","0.019904","0.000206","0.000508"
"is_occasional_cx_Occasional","Dimension","dsmp_order_rate_28d","","mean","0.118299","8,349,517","0.118278","8,347,174","0.000043","[-0.00036, +0.000446]","0.000364","[-0.3046%, +0.3773%]","0.834426","-","0.038954","0.000014","0.000035"
"is_occasional_cx_Other","Dimension","dsmp_order_rate_28d","","mean","2.021490","8,349,517","2.023828","8,347,174","0.001740","[-0.000088, +0.003568]","0.000861","[-0.0044%, +0.1765%]","0.062091","-","0.665641","0.000573","0.001412"
"dsmp_order_rate_7d","Metric","N/A","","mean","2.741913","5,159,675","2.745448","5,158,893","0.002839","[+0.000323, +0.005355]","0.001035","[+0.0118%, +0.1953%]","0.026998","Significant","0.557922","0.000578","0.001451"
"is_occasional_cx_NULL","Dimension","dsmp_order_rate_7d","","mean","0.059539","8,349,517","0.060107","8,347,174","0.000621","[-0.000129, +0.00137]","0.010428","[-0.216%, +2.3016%]","0.104462","-","0.019605","0.000204","0.000504"
"is_occasional_cx_Occasional","Dimension","dsmp_order_rate_7d","","mean","0.118093","8,349,517","0.118081","8,347,174","0.000051","[-0.000351, +0.000453]","0.000431","[-0.2971%, +0.3834%]","0.803881","-","0.038885","0.000017","0.000041"
"is_occasional_cx_Other","Dimension","dsmp_order_rate_7d","","mean","2.002585","8,349,517","2.004767","8,347,174","0.001592","[-0.000204, +0.003388]","0.000795","[-0.0102%, +0.1692%]","0.082251","-","0.659399","0.000524","0.001293"
"dsmp_perc_mx_trialers","Metric","N/A","","mean","0.263243","7,934,329","0.263347","7,933,723","0.000155","[-0.000192, +0.000502]","0.000588","[-0.0729%, +0.1906%]","0.381411","-","0.753519","0.000495","0.000117"
"dsmp_retention_rate_14d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dsmp_retention_rate_28d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dsmp_retention_rate_7d","Metric","N/A","","mean","0.900016","5,159,675","0.900468","5,158,893","0.000384","[+0.000031, +0.000737]","0.000426","[+0.0034%, +0.0819%]","0.033150","Significant","","",""
"first_contact_resolution_rate","Metric","N/A","","mean","0.913974","140,526","0.914422","139,581","0.000563","[-0.001673, +0.0028]","0.000616","[-0.1831%, +0.3063%]","0.621639","-","0.292733","0.000189","0.000165"
"gov_per_order_curie","Metric","N/A","","mean","38.239680","7,965,148","38.202206","7,964,544","-0.019391","[-0.042667, +0.003884]","-0.000507","[-0.1116%, +0.0102%]","0.102494","-","0.764995","-0.000405","-0.014838"
"is_occasional_cx_NULL","Dimension","gov_per_order_curie","","mean","27.676087","329,021","27.453303","329,781","-0.222784","[-0.576274, +0.130705]","-0.008050","[-2.0822%, +0.4723%]","0.216736","-","0.020407","-0.000125","-0.004580"
"is_occasional_cx_Occasional","Dimension","gov_per_order_curie","","mean","41.420019","934,406","41.457702","933,469","0.037108","[-0.065128, +0.139344]","0.000896","[-0.1572%, +0.3364%]","0.476836","-","0.045993","0.000047","0.001707"
"is_occasional_cx_Other","Dimension","gov_per_order_curie","","mean","38.330284","6,998,820","38.296593","6,998,955","-0.024445","[-0.047589, -0.001301]","-0.000638","[-0.1242%, -0.0034%]","0.038439","Significant","0.698638","-0.000466","-0.017083"
"hqdr_ratio","Metric","N/A","","mean","0.936553","7,996,591","0.936732","7,995,899","0.000167","[-0.000001, +0.000336]","0.000179","[-0.0001%, +0.0359%]","0.051825","-","0.763809","0.000137","0.000128"
"country_Australia","Dimension","hqdr_ratio","","mean","0.896291","5,525","0.898778","5,589","0.002487","[-0.008317, +0.013291]","0.002775","[-0.9279%, +1.4829%]","0.651849","-","0.000294","0.000000","0.000000"
"country_Canada","Dimension","hqdr_ratio","","mean","0.879996","6,100","0.871277","6,062","-0.008719","[-0.020849, +0.00341]","-0.009908","[-2.3692%, +0.3875%]","0.158848","-","0.000361","-0.000003","-0.000003"
"country_NULL","Dimension","hqdr_ratio","","mean","0.938395","7,912,369","0.938554","7,912,034","0.000159","[-0.000008, +0.000326]","0.000169","[-0.0009%, +0.0347%]","0.062305","-","0.759471","0.000129","0.000121"
"country_New Zealand","Dimension","hqdr_ratio","","mean","0.926189","2,256","0.938563","2,220","0.012374","[-0.000779, +0.025527]","0.013361","[-0.0841%, +2.7562%]","0.065191","-","0.000124","0.000002","0.000002"
"country_United States","Dimension","hqdr_ratio","","mean","0.895267","62,789","0.898615","62,314","0.003347","[+0.000169, +0.006525]","0.003739","[+0.0189%, +0.7289%]","0.038973","Significant","0.003573","0.000013","0.000012"
"nv_fco_all","Metric","N/A","","mean","7.568668","1,783,494","7.565733","1,785,731","-0.002788","[-0.022249, +0.016673]","-0.000368","[-0.294%, +0.2203%]","0.778885","-","0.843364","-0.000318","-0.002352"
"nv_hqfr","Metric","N/A","","mean","0.793337","1,268,794","0.792420","1,271,141","-0.000423","[-0.001978, +0.001131]","-0.000534","[-0.2493%, +0.1426%]","0.593451","-","0.882436","-0.000468","-0.000374"
"nv_mau","Metric","N/A","","mean","0.322073","8,349,517","0.322315","8,347,174","0.000109","[-0.000271, +0.000489]","0.000339","[-0.0842%, +0.1519%]","0.574171","-","0.529770","0.000179","0.000175"
"o1_aov","Metric","N/A","","mean","39.066941","7,951,321","39.039224","7,950,814","-0.006906","[-0.030838, +0.017026]","-0.000177","[-0.0789%, +0.0436%]","0.571689","-","0.777541","-0.000141","-0.005370"
"o1_gmv","Metric","N/A","","mean","86.992388","8,349,517","86.963955","8,347,174","-0.034658","[-0.110441, +0.041125]","-0.000398","[-0.127%, +0.0473%]","0.370062","-","0.796114","-0.000317","-0.028554"
"o1_order_rate","Metric","N/A","","mean","2.226752","8,349,517","2.227604","8,347,174","-0.000176","[-0.001833, +0.001481]","-0.000079","[-0.0823%, +0.0665%]","0.835145","-","0.777522","-0.000061","-0.000142"
"o1_order_rate_7d","Metric","N/A","","mean","2.625219","5,159,675","2.626202","5,158,893","0.000341","[-0.002, +0.002683]","0.000130","[-0.0762%, +0.1022%]","0.775094","-","0.566470","0.000074","0.000170"
"o1_subtotal","Metric","N/A","","mean","28.670419","7,951,321","28.666090","7,950,814","0.005186","[-0.017803, +0.028176]","0.000181","[-0.0621%, +0.0983%]","0.658366","-","0.777541","0.000145","0.004033"
"o1_vp","Metric","N/A","","mean","3.597179","7,951,321","3.599796","7,950,814","0.008682","[+0.000734, +0.01663]","0.002414","[+0.0204%, +0.4623%]","0.032286","Significant","0.777541","0.001973","0.006751"
"o1_vp_per_cx","Metric","N/A","","mean","8.010025","8,349,517","8.018921","8,347,174","0.015031","[-0.003144, +0.033205]","0.001876","[-0.0392%, +0.4145%]","0.105033","-","0.817448","0.001534","0.012383"
"order_inflation_rate","Metric","N/A","","mean","0.166100","6,302,972","0.166121","6,303,487","0.000011","[-0.000081, +0.000103]","0.000065","[-0.0488%, +0.0617%]","0.818975","-","0.724825","0.000043","0.000008"
"ox_gmv","Metric","N/A","","mean","84.603228","6,929,333","84.599479","6,931,450","-0.021776","[-0.110061, +0.066509]","-0.000257","[-0.1301%, +0.0786%]","0.628789","-","0.821989","-0.000212","-0.017332"
"ox_gov","Metric","N/A","","mean","38.129984","6,929,333","38.086428","6,931,450","-0.031774","[-0.058527, -0.005021]","-0.000833","[-0.1535%, -0.0132%]","0.019920","Significant","0.794302","-0.000685","-0.025244"
"ox_subtotal","Metric","N/A","","mean","27.975067","6,929,333","27.957621","6,931,450","-0.015210","[-0.041436, +0.011015]","-0.000544","[-0.1481%, +0.0394%]","0.255654","-","0.794302","-0.000451","-0.012084"
"ox_subtotal_combined","Metric","N/A","","mean","28.035804","4,260,528","28.056216","4,261,652","0.020398","[-0.008356, +0.049151]","0.000728","[-0.0298%, +0.1753%]","0.164410","-","0.435443","0.000325","0.008882"
"smb_rx_filtered_core_volume","Metric","N/A","","mean","0.515822","6,812,984","0.515548","6,813,210","-0.000418","[-0.000868, +0.000031]","-0.000811","[-0.1682%, +0.0061%]","0.068243","-","0.742030","-0.000775","-0.000310"
"variable_profit_per_order","Metric","N/A","","mean","3.466293","7,988,425","3.464397","7,987,483","0.002808","[-0.005373, +0.010989]","0.000810","[-0.155%, +0.317%]","0.501077","-","0.666059","0.000628","0.001871"
"consumer_is_occasional_cx_NULL","Dimension","variable_profit_per_order","","mean","-2.685802","5,950","-2.896791","6,047","-0.210988","[-0.678906, +0.256929]","-0.078557","[+25.2776%, -9.5662%]","0.376823","-","0.000281","-0.000020","-0.000059"
"consumer_is_occasional_cx_Occasional","Dimension","variable_profit_per_order","","mean","2.926160","926,709","2.957684","926,105","0.031569","[-0.00269, +0.065827]","0.010788","[-0.0919%, +2.2496%]","0.070911","-","0.040348","0.000430","0.001274"
"consumer_is_occasional_cx_Other","Dimension","variable_profit_per_order","","mean","3.503352","7,024,297","3.500244","7,024,271","0.000755","[-0.007592, +0.009102]","0.000216","[-0.2167%, +0.2598%]","0.859228","-","0.625438","0.000159","0.000473"
"is_occasional_cx_NULL","Dimension","variable_profit_per_order","","mean","0.751104","327,879","0.796025","328,656","0.044922","[-0.185183, +0.275027]","0.059808","[-24.6548%, +36.6163%]","0.701994","-","0.017678","0.000270","0.000800"
"is_occasional_cx_Occasional","Dimension","variable_profit_per_order","","mean","2.983305","934,883","3.020916","934,122","0.039644","[+0.005971, +0.073318]","0.013289","[+0.2001%, +2.4576%]","0.021027","Significant","0.040201","0.000537","0.001594"
"is_occasional_cx_Other","Dimension","variable_profit_per_order","","mean","3.619448","6,990,277","3.615377","6,990,326","-0.001482","[-0.008116, +0.005152]","-0.000409","[-0.2242%, +0.1424%]","0.661552","-","0.608190","-0.000304","-0.000901"
"vol_from_over_25","Metric","N/A","","mean","0.128577","7,934,734","0.128467","7,934,139","-0.000139","[-0.000388, +0.00011]","-0.001081","[-0.3019%, +0.0857%]","0.274394","-","0.764667","-0.000620","-0.000106"